index;name;#publications;#publishers;publishers;density
40;Lviv Polytechnic National University;579;613;"26868037300; 57224186041; 58349158400; 57198358655; 57220148205; 57224195349; 57217115505; 57213686130; 8644962500; 57815614700; 24483044100; 57445620700; 57208909008; 57219110473; 58019941900; 23502474400; 57373469000; 57711072000; 57373838900; 57194425476; 57224635005; 57221864019; 57210409647; 58266611100; 57200182107; 58652166100; 55428737300; 57224958601; 57208773766; 56367474600; 42962320400; 36091174500; 57226105319; 58765729000; 57211626257; 57208081727; 57191852972; 8413964400; 57211622785; 55338986000; 56983080500; 35795570900; 57218556199; 57217114344; 57195508804; 57844174500; 57215661021; 6504355946; 36571783300; 57216899382; 57204560043; 57223028554; 57203371750; 57211200048; 57816720300; 46461666400; 57204941063; 57226523591; 58765477500; 57212410139; 57203618952; 36069242600; 56181228300; 57201519160; 57212532694; 57816400300; 36622919400; 58066825300; 57200141350; 57218955797; 58765649000; 38461401100; 57220766157; 57217115729; 57226524076; 57202442512; 12240482000; 57203399037; 57218347179; 58018920300; 57815611300; 57204568083; 36069104500; 57209538645; 57214298464; 57226530471; 57226541892; 57194419499; 58019005500; 58179182100; 55816818300; 57669940700; 55225672300; 57220785473; 57193995645; 57457042700; 57210573166; 57189328083; 57215359741; 57192678623; 57204559109; 57194407951; 57191957246; 57243839500; 55225685600; 58178811300; 57219602994; 57220767841; 58765426400; 57208666027; 57204565838; 57210282999; 35609532100; 57218347317; 57456978800; 57282374000; 58066697600; 57219345897; 24483721700; 57195127104; 57224197455; 57221867049; 57226532459; 57202219168; 6507405635; 57226524898; 58179268200; 57190168434; 6504784216; 57212533957; 57215410548; 57200527876; 57216487720; 57204911188; 57200697723; 57073927700; 56979364400; 57226532359; 57191954570; 58613540800; 57189330822; 57202640359; 57216897053; 57207307024; 55816397200; 6701840218; 27868100200; 57220764608; 58781357500; 56328498400; 35796044000; 57210437848; 57222725650; 24314779100; 57221860325; 57170613200; 57210789694; 57210411710; 57211624058; 57445617900; 57188577075; 36600937300; 57226101995; 57210281813; 57191616821; 57216900485; 57210281749; 6507589303; 57219746667; 57224949058; 25630167800; 57236729600; 57224947930; 58179321600; 57226529221; 57202453582; 57216896254; 58205324700; 57200138686; 57192921573; 36349242400; 57198346128; 57210416121; 24314803300; 58250068500; 57210409232; 57194160635; 55226109400; 57189331968; 57191955205; 57374362200; 57189322232; 57217115170; 21741497000; 58765301600; 17433321700; 57216900270; 57217965035; 57191967462; 24072000100; 57283960100; 6602604864; 57202219233; 57208903404; 57815598900; 57211376408; 58002213500; 24479843500; 55225677300; 55513309600; 55975814000; 55225607600; 35795554500; 57486483200; 57218345668; 57216351280; 56328252300; 58066091900; 54420777000; 58101295700; 57194507106; 57214089024; 58204833600; 57216901145; 57189382145; 58066695800; 57816720900; 24483455500; 56156714500; 57205444338; 57224187961; 24484282800; 57222488672; 57190402818; 57189319470; 57188576351; 57210313109; 58019109200; 57226523887; 57560298100; 57200786767; 58179355800; 58249837600; 55699982500; 57224188299; 57196355828; 57216933737; 57201905056; 57787738800; 24482887400; 57210286606; 55675125300; 55675224038; 57191202577; 57224954978; 57202441589; 57208343279; 57219537964; 57210748716; 57214221903; 57219008106; 36099157800; 57211628068; 57195506070; 36069369100; 57456777800; 57670710100; 57211998215; 57209532921; 57221919290; 57204076274; 57204937850; 58067174400; 57204949103; 57211296464; 57552351600; 57204941391; 57208904970; 57445829900; 57715601700; 57189324938; 57374007300; 57224203474; 57208342655; 6602604353; 57196084435; 57194688820; 57456880300; 57815771300; 6504026191; 57222493264; 57219107945; 56638504000; 57191420511; 57188570712; 57208902437; 57205202109; 57224954547; 57223005097; 35773337400; 7007068370; 57643366000; 10039191600; 57204943549; 55210843200; 57211624283; 57193993937; 35868028100; 57218347077; 57816704900; 8088913000; 57209531720; 57218345886; 58204709900; 36092239300; 24315132000; 57189328709; 57222387801; 57204076679; 57226538315; 57220193801; 57189329580; 58179012100; 55225672200; 57216895243; 57952498600; 58494150900; 57193241325; 57221983969; 55792058700; 57188864596; 24483931200; 57486280800; 57705282700; 24479832900; 57226533669; 57552812600; 57215363948; 56287766100; 58066402300; 57202210835; 56350959300; 57209532261; 57204914282; 38461225700; 57191862674; 57212532494; 58739872800; 56001940500; 57219859769; 57444633000; 6504272188; 57207206470; 57711585900; 57212527793; 58408066200; 24484208600; 24484154400; 57202221912; 57226672923; 57190166089; 57210290831; 36068917100; 57222494498; 55948382100; 24484045400; 16232461500; 57164002600; 57218501593; 36104383200; 55225979800; 57456879800; 57816398800; 57456894800; 24482879100; 58489841500; 57194164968; 57456882600; 23007887700; 24482851100; 57216895192; 36069376300; 36104852600; 58094964600; 8644170300; 56007810100; 6507291021; 57200140415; 58066066300; 58765303400; 57189378423; 58178975400; 58489711600; 57217113704; 57216484132; 57189323863; 57194548043; 57218569355; 58061103500; 57189326140; 57214091495; 56446930100; 57479938300; 57189381388; 57190374581; 57815753000; 57208908522; 57815612300; 57211620220; 24344600300; 57289744000; 57456944800; 57189329194; 56020802700; 57457035600; 57716294700; 57223105401; 24831290800; 57816723300; 55053351700; 58738395900; 6701762312; 57204921512; 7801590982; 57216892335; 57200917607; 57203146900; 36195660900; 24479460500; 55225639700; 57200044667; 24831346400; 57816705200; 55817251500; 57220993649; 57209338834; 57205200124; 57189333184; 35868099900; 57200141195; 57216895767; 24480180700; 57218347743; 57195572950; 57191243716; 36069352400; 58490097700; 57224950357; 57224190567; 8410487000; 7801543164; 57210420799; 55312617400; 6506122326; 57210410402; 57198350314; 57189374702; 58178875200; 57191407841; 57202220303; 57816552300; 57204914133; 57202210649; 24484277800; 57202703694; 27867946500; 24483963200; 57224192856; 24484163500; 57457255600; 57226528305; 57209415974; 35109294500; 57220106761; 27868243500; 57205303632; 57211207599; 56368047900; 57200179871; 55225547900; 37122321800; 57220198250; 26867619200; 57202819882; 57671758100; 55225797600; 6603085655; 57216432972; 57224195469; 57351783700; 57220767331; 57224200323; 37561840600; 57217115226; 56180337400; 57191118426; 57215582319; 56979297100; 57222495650; 56437585400; 56658681200; 36069374300; 57209528737; 57191869338; 8956518300; 6508258144; 57218346070; 57224196918; 57209534097; 57204561106; 6602569305; 57191193905; 57208340684; 57189325983; 57210121868; 56040708100; 24479552900; 56738918700; 54419637600; 57226530888; 55920578700; 57686638700; 57224635006; 57191410341; 57201851816; 57224201611; 36882890000; 57670244000; 23096167000; 57216492874; 57219532730; 7801673266; 35867827400; 24477221900; 57224184312; 57204937490; 58765599000; 57188802596; 22635393000; 57204560375; 57191242481; 57189378644; 57204923811; 57885340500; 55226030000; 57211627477; 58019698300; 57212535641; 8218305900; 58019571700; 8218306100; 55225720500; 57217113249; 55885125200; 55976471700; 24479272400; 57189387163; 57456971600; 57742937100; 57201781103; 56511716700; 57815615000; 57200312703; 58029641100; 56566614900; 57218683902; 24482960900; 57194415126; 57220764300; 57226539854; 6701381337; 57201701043; 57226541811; 57188864671; 57212560353; 57816242000; 6504570604; 57189387618; 57815615100; 36070271300; 57444530300; 57189375884; 57224189630; 57200319762; 6506089962; 8636372500; 57226540226; 57223831767; 57220763975; 37562161300; 36069232000; 56658654000; 57205433072; 57201009544; 57218492241; 57216702915; 57198358626; 57035614300; 24479846600; 57205614904; 57221871002; 24723181500; 57456785800; 57217200195; 58019756900; 57642776100; 58765364000; 57218345937; 57456850300; 56287826100; 55225677200; 57188753579; 57060392400";0,853181077
293;Taras Shevchenko National University of Kyiv;387;380;"57216160158; 56667169600; 6507920066; 57193231739; 57468846800; 22956536100; 6603652300; 58734926500; 57485384300; 57188682230; 57218569617; 6508320471; 57523885100; 57191852972; 6506623724; 35097884500; 57190423837; 57202216784; 57220206076; 57195390929; 54397238100; 57216147633; 58499490100; 57219050151; 6507580266; 58487976800; 57188623059; 8700803100; 56358898000; 58724606300; 58717740500; 57216737999; 55926336700; 57210751284; 56203633700; 57205503897; 56358752500; 57200166289; 55320360800; 57245485600; 57200165928; 57216462211; 57198495672; 58101514400; 57202321835; 57201773676; 57195126012; 57217291224; 57208566066; 56352633800; 57216150467; 35203882600; 57219609799; 57201779357; 57194039632; 36705462600; 57219614308; 57208321018; 58791462500; 56950939100; 58127023500; 12805790300; 56359009500; 56962724900; 28767600100; 58029632500; 7801433517; 57432001200; 57222756609; 58628453300; 7004529396; 57212762554; 57224009110; 23103173100; 57205613392; 57210744815; 57288554300; 57211475719; 57224011132; 7005440517; 56496122100; 57194559143; 57194711434; 57851035600; 57216148997; 24776604000; 56335677500; 15137640400; 57289566900; 57203849687; 26650296100; 57223918365; 57225027891; 57211747565; 57222711201; 57219926552; 56293328800; 56369427000; 6701678708; 57196218756; 58734522400; 57190975212; 57216147491; 57222756833; 24179208600; 56084816800; 6604033509; 57199581757; 55891888100; 57210596311; 57193847167; 57200186044; 57222150759; 6602785897; 57822466100; 57191342671; 57210699506; 7006741597; 57219613870; 15081867000; 57217191492; 57811370100; 57222714533; 56085672800; 6507993746; 58001126400; 57203269094; 57194520926; 57560518000; 58685169300; 57203261784; 57282986900; 57200616055; 6602307977; 6701527231; 57202377504; 25026248700; 57194407325; 57201907047; 14066962300; 57203454389; 57393493100; 56786442100; 57217043144; 57194622821; 57202983284; 57194528334; 57670854500; 58657968000; 7801346859; 57208904023; 57250343300; 57196445471; 6507449974; 16436198800; 57559415300; 57222082763; 57221373677; 12545814300; 57198504088; 57951373000; 57210583233; 58043682200; 57200704795; 58118042500; 58289256100; 14063413700; 12546019100; 57672074100; 58249906800; 25931119500; 57351021300; 57191727361; 57188645471; 57219606319; 57200165109; 57211181432; 7004019960; 57224954271; 58127178500; 58127392100; 57238953400; 57209239313; 57191861121; 57217046852; 57219611531; 57224881043; 57216151170; 7006482235; 57188759044; 57210292227; 57222711203; 57207767437; 57200227059; 57188637896; 57192687813; 57369370800; 57202211119; 57224977778; 56497047400; 35748006500; 57190127510; 16427609600; 26428941500; 23985125600; 16038589800; 58781155300; 57222757943; 57219611275; 57210588288; 57671576000; 58734892400; 57194604380; 58681437000; 57201729261; 57201773426; 57189333355; 57207912430; 57214935213; 57188806994; 57198103628; 57202223181; 36069484800; 57203286015; 57190404746; 58355311100; 58725919700; 25030548000; 57209587504; 57190766460; 57190942288; 57467888400; 57196472070; 6603047246; 57202316924; 57219600082; 58775237800; 57219326645; 57210598566; 57224011747; 24400924800; 25123261200; 7003625482; 57192985387; 57209234608; 57217127850; 57244781000; 57200141737; 57210570098; 57208121280; 9536987000; 57200184567; 58082674700; 57575174000; 57219926852; 6506173786; 57208407651; 54947346500; 55322859000; 57207358279; 36790389200; 58250369200; 58172224700; 35319035700; 16431535400; 57218106504; 57212673010; 57189330864; 57216639228; 57949257500; 56578459400; 57201741595; 57209857572; 56951322300; 57204643913; 6504450419; 56086487700; 57189333096; 7102808803; 58487427200; 57202445004; 57222758939; 57456800300; 6603240132; 6507926049; 56074920300; 22939495000; 58354652200; 57393435100; 12039392900; 44661392700; 25927769900; 57194564633; 57214753102; 57200182743; 57189325888; 16745159200; 57200188616; 7801539966; 57202424721; 58487292800; 57191869873; 57188687900; 57140798400; 57202011000; 58355953800; 57219606721; 57222575306; 57529289200; 56352192500; 57190945399; 57218566883; 58042471500; 57191869956; 56837996700; 55926485700; 57191856083; 58036051500; 57861033200; 24723280100; 49862800100; 57200318123; 6603019800; 57222145275; 58673829600; 35192058200; 57200525760; 54391288700; 36635167700; 57539854900; 57189216930; 6602577533; 57212683857; 57219739237; 57203461138; 57288714600; 57188751299; 56183274300; 57479631700; 24074631100; 57194043799; 57203286918; 57215819788; 6508147258; 57221522551; 24723321600; 58316083100; 6504167965; 56086421000; 57217113657; 57210467641; 57216160555; 14525309200; 57208568632; 57210290327; 56358862200; 57716887100; 57207857890; 57201701043; 57222758327; 57190125441; 57189330191; 57188763373; 56084529900; 57216154189; 8422284800; 56358907900; 55858934300; 57218596900; 57218567908; 57225216160; 57219606804; 57216156286; 57221995508; 6602216570; 35585493200; 24462555800; 22433510200; 58487976700; 57203287578";0,871052632
363;Kharkiv National University of Radio Electronics;356;285;"36070041200; 57217114486; 57190438040; 56486038400; 57961924300; 57217114845; 57207765829; 57218102620; 57193325956; 24483001300; 57217115734; 24484091300; 6506997369; 57211556518; 57571509500; 57192950691; 57218143939; 15833942400; 57191573314; 24479782800; 57202957182; 57219773778; 57217107226; 57196074907; 57907544400; 58266122800; 57250163100; 56685704800; 57216950622; 57021830100; 56736026400; 7003842489; 57775882100; 57209339417; 57224189646; 24480010500; 58066246600; 57194214849; 57715601500; 37461951800; 57209322527; 54895641900; 57816562200; 16647283500; 57210290233; 58066372700; 57209338164; 24483070600; 20433339500; 57201728980; 58624126200; 8326375900; 57202212660; 58266148100; 57224184250; 6701878527; 57203149663; 57204559813; 55892126200; 47861221700; 57226525375; 57195682869; 56439217100; 24482907700; 57216897253; 57907345200; 57217030807; 58375766100; 57202740796; 56423229200; 57210288841; 57220778035; 37000416100; 57352374800; 57224349553; 58265868800; 7202624297; 57218116847; 57211128569; 57189377891; 57188694373; 55225551300; 55225639100; 13105377000; 6507006637; 57235531500; 58690045100; 9534197500; 57188571542; 57193449011; 57215374156; 56866436300; 56866413200; 56440024900; 36021627200; 57194480930; 57209023773; 25929592700; 57194029567; 14024932000; 57220833883; 58127029100; 57215830289; 57207779807; 56485859400; 57210558296; 58670631900; 55226675100; 57201779205; 57194038934; 56866386100; 16304074400; 57194044700; 57190568855; 55736219500; 57208898156; 57215833568; 57216485174; 57210287752; 57192818805; 57196220518; 57215835371; 57207767352; 50462293300; 57219532386; 57215342653; 7004568169; 57189381444; 58411747600; 57249599500; 57217115858; 24483080100; 57191737209; 56911938100; 57199329065; 57765391000; 6506991522; 9535153800; 57219537356; 57249729800; 57189391408; 55386924000; 7004018101; 57225331260; 57203149050; 57207757448; 57219533381; 57219777747; 57208632571; 57189324397; 57219538448; 6507672782; 57221961256; 57249461900; 57189390048; 56825892200; 57216490102; 57260210400; 58624072800; 57224189723; 57816399000; 57904162800; 55658561300; 57249456600; 57189386160; 25625157400; 9534102000; 57188752496; 57439724500; 57748914900; 57200986251; 8860381900; 43061153900; 7801667873; 57189386760; 57196077962; 58128129600; 57199330199; 57218143671; 57191863710; 56007783500; 57226535515; 35867876500; 57210412608; 57219530621; 57211908898; 57220778664; 57202236879; 6701840591; 57876665300; 57211976635; 57218951658; 57208026716; 57203139749; 57249311800; 57208026679; 56845919400; 57203150183; 57207768136; 24527617600; 57215830222; 6506130334; 57202997528; 57216157544; 57224191788; 57195684561; 57816723400; 35867981700; 57204941028; 57202800058; 57216434058; 6506695489; 57210336629; 57196940070; 56940612600; 6507354120; 6602558899; 57715597000; 57193698953; 7005837246; 57208907089; 57226786264; 57207770012; 57220834684; 58266293600; 57197726314; 57207256674; 57208026284; 57202799599; 57214222033; 57226768716; 14018777000; 6602781297; 57201726253; 57216346667; 58298537300; 57224185195; 57815615300; 57385895400; 57384978100; 57212020095; 57189359335; 57250027000; 55976111400; 57191857192; 57203148553; 57226357638; 58266792600; 58266602300; 57208908545; 35298713200; 57170510300; 57207774022; 56448404000; 55930661700; 57207762084; 57188703184; 57352374900; 58266323400; 57224188064; 57521816200; 57203141711; 24483379300; 57105743600; 57194145491; 56529580100; 58298910800; 57189383519; 36776426800; 57223108800; 57191861308; 16302534800; 57211145204; 57188710183; 57671208800; 36183980100; 57204557798; 58187203600; 57188754454; 56008181700; 57201604404; 57203885630; 57383114500; 57224188651; 57221227175";1,045614035
171;National Aviation University;197;185;"56030195500; 57362295000; 57202217441; 57188754744; 58351289800; 55976356500; 57215303050; 56471364100; 57205054914; 57204853251; 57203992591; 57432943600; 57215316083; 58100977700; 57192921573; 56910030600; 58658485700; 56017239300; 23478131700; 58099286600; 57208032638; 58698248700; 56285851300; 57195936190; 6603696962; 57202443723; 57209856866; 57219603237; 57204324241; 14826739900; 36184129600; 57188759044; 57193068955; 57670707400; 57210116999; 6506326427; 57204211264; 58775108000; 57207767437; 57216341955; 57209855333; 57581115000; 57205440189; 57216153388; 56030025900; 57230574100; 57219595284; 57216675288; 6604047415; 56017084600; 55855134300; 57203468247; 58698650400; 57433809000; 57208032662; 57188637896; 57193061952; 57432799500; 57219114108; 56203633700; 56123167300; 7103245945; 57191267865; 58100968200; 57196394977; 57211292766; 57204944661; 57225681352; 57206192351; 57871672100; 57468515900; 57217195743; 23396181700; 57193057763; 14063763700; 55819267900; 57219113630; 57219856647; 57222147991; 56114433000; 57211159943; 57170878400; 57217113894; 57219601185; 58774863300; 58490473900; 57205165557; 58171439000; 57216350021; 57188707370; 57202220987; 57219115681; 57432766000; 58616744700; 57216351290; 55328211600; 6602755287; 57188708598; 57193065119; 57433771100; 57699098500; 58204704500; 56030673000; 57188697920; 57206893179; 12796044400; 56471897200; 57468669900; 58698250900; 55976558100; 57219113476; 55816474900; 58680955600; 57215319676; 57203264737; 58298088400; 57433808700; 57216920089; 58547512600; 56029337600; 57211620576; 7201365396; 57210362424; 57209347660; 57190029108; 58775188400; 57945699000; 58547256600; 55357892600; 58002215900; 57190445323; 57989196900; 6507854987; 58759162900; 55960146000; 16435703700; 58204945300; 41661913400; 6601983603; 57209849108; 58518430000; 55961621600; 9737743700; 57208032368; 57217113412; 25823861700; 57210750229; 57218562418; 55635895100; 57212214272; 56029291400; 57207684678; 58183949400; 57208036545; 57209797086; 57218917137; 57196004388; 57216153384; 15924001000; 6506343856; 58680687600; 57208627172; 58697828000; 58101348400; 57214231319; 37007914500; 57210115741; 57222474797; 57202648674; 57205506489; 58127393300; 57219503514; 57945834200; 57194637544; 57219115491; 57211903866; 37007575500; 57190344215; 57211295978; 57265309000; 57224881006; 55960151500; 57219108896; 57219112606; 56512075000";0,908108108
16;National Aerospace University;256;98;"57218704755; 58198933300; 55652835300; 7102348972; 56784405500; 57204907264; 7005979784; 57222124315; 57201771882; 57733854000; 57194519783; 57203766040; 57220833706; 57220833383; 41761910800; 56072031500; 26028048100; 57195913632; 16426533400; 22034616000; 13104908300; 57209536137; 57216485550; 57194602918; 58309781700; 57189377960; 57194606303; 55225531900; 57222125997; 57209529235; 39760910600; 22034015200; 57194517520; 57218710916; 57214220648; 6507438749; 55179177300; 18042670600; 56311132000; 6507678966; 57217115056; 57163964800; 57207915447; 57418086000; 57221046997; 57222496095; 57209797691; 57220834070; 57192199954; 57209533869; 57220834017; 57418658200; 57220835419; 57194621350; 55942683600; 36975148100; 7005723502; 7102438809; 57204914252; 57214221867; 16454833700; 14522143700; 55847192600; 24479497500; 7003358846; 23397933100; 57214223045; 56363478400; 57194428732; 57220108735; 57226533130; 57211621104; 55634654000; 56925032900; 57218345593; 36634114700; 57193497328; 57206269694; 55777170300; 24400152800; 57207914339; 7006718461; 57202229519; 57211747520; 58602766600; 57191220899; 37121982400; 56486006400; 6506749318; 57226382634; 58194260300; 57210558126; 57417516700; 57205357625; 57226534844; 57218347380; 57205017240; 57202239038";1,326530612
155;National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”;436;164;"25723923500; 57238255300; 54397241100; 57219115843; 6506585140; 57216489440; 54881853400; 57216817923; 57189322887; 56989863700; 57188767957; 56990473600; 55901154800; 57208905776; 57202218042; 24476120400; 6506155716; 6507365226; 52663707600; 57282627600; 6602445011; 57200923626; 56412465200; 57201372342; 6506101039; 58020234700; 57197784980; 8897599900; 55497774300; 57221875186; 57331504400; 57202317133; 57202445990; 57202424721; 57969709800; 56925582100; 57216585721; 55676011800; 57198345549; 57208256914; 8379859700; 57195940293; 6603716749; 36802700400; 54398937000; 58708076700; 6602686355; 57205697128; 16444461000; 57206489823; 57282932100; 12794971700; 57219533864; 57200140387; 57223030513; 57219504325; 57458263600; 6506327117; 54420927200; 56707680600; 6701430548; 57190427379; 36442431200; 58509156300; 35772765100; 57197780361; 57223030605; 57190493523; 36443046100; 36724076700; 56658776800; 6602467716; 57196470644; 35104266600; 57204823861; 36994736400; 6602433771; 57211999546; 55644199700; 57219614167; 6507183267; 55193069200; 57191415579; 36601536300; 56667743100; 57939239500; 57202317022; 57373301800; 57970159700; 6507899760; 57283315000; 57198345363; 57039928300; 57928286300; 57202213333; 37122234100; 57194284517; 57216154212; 57216896812; 36442464300; 58092247800; 35583691500; 56941660900; 57219778439; 58033750900; 57293090900; 54421406500; 6602485938; 6508366556; 56534070400; 24479839700; 57202216691; 6503906914; 57927656100; 57210187912; 55825827900; 6701855242; 58145799300; 57202913922; 16467809500; 6603056281; 55027316700; 57457232400; 57211289386; 57216901073; 57205096228; 55394093100; 57215968572; 35867898100; 56656533400; 57197879839; 57208343213; 24328925200; 57190839451; 23487078800; 54421204800; 57164002100; 24830341800; 57219930986; 55372511800; 57212528006; 57443623200; 8379858700; 19934022600; 55962506500; 55635565800; 57195395231; 57191160086; 57218097527; 57205272467; 57208899940; 57191405413; 57201876273; 23995340900; 57197853409; 6603310337; 35772319200; 57968993900; 36976564300; 56979384300; 57208345238; 15770119900; 58575724200; 6603482200";0,664634146
104;Vinnytsia National Technical University;107;132;"58698723500; 57222498246; 57208013617; 57189333478; 7103366036; 57212034267; 57217489704; 55225643900; 6603193226; 14057195000; 57195679681; 6603538425; 57104953300; 57221866846; 57204585944; 57192640340; 57218103019; 57212032228; 55523102564; 57105210600; 57208030179; 57195674979; 55225644100; 57212031795; 57195929617; 57208030894; 16554663000; 57539532300; 23996023000; 58728278600; 57194518302; 36614735900; 6602754568; 57191745724; 57208029899; 57222761356; 55847607800; 58037513300; 57195681469; 57195681338; 57200140769; 57212035459; 55645362900; 57105655500; 6507753602; 57105176500; 57505368200; 57204591435; 56464309800; 57105609100; 55645005400; 54683375300; 6506291738; 58643081400; 6505831119; 57204591052; 6507709229; 53874341200; 57096023600; 6603402702; 57208223530; 35758353700; 57212677177; 57369242000; 36728178500; 56001988500; 55645044200; 57195363451; 57105537500; 36681833900; 58642927300; 57204946031; 8353936900; 57244115200; 57208782498; 57191736988; 57190127108; 57213686051; 55883932200; 57243839500; 57105601900; 57208028798; 6505609129; 58726680000; 6507867882; 57195676311; 57208031375; 57212031954; 57210061596; 57191729653; 57105837600; 57191728399; 57200139908; 16022812400; 55645302100; 57208032200; 57197850810; 57218141785; 55225643800; 6603117582; 57903467100; 57200141075; 55643472600; 57195680655; 57212031536; 57193498557; 57202229639; 57219624746; 58037340700; 55523102357; 57208672572; 57202208998; 57194024972; 6507296188; 57191865911; 55644063100; 57209145792; 57191848691; 57105315400; 6603572144; 57220701939; 57195671923; 57204591905; 50562419200; 57200317913; 57204582651; 57191420661; 55975645000; 57220203872; 57204397418; 57369242100; 58698461500";0,795454545
22;Sumy State University;118;125;"57433417000; 57194526188; 57204833365; 57192962344; 55418357100; 57210598193; 58203758700; 56104755400; 6506649428; 57488837200; 56106039600; 57221790469; 56658762000; 57223390447; 55769747343; 57949494800; 56439436900; 58503513700; 57218108571; 57196299250; 6701618311; 58073504600; 57208899783; 57015406500; 55885326200; 36968249300; 57220765969; 57208675019; 57148522500; 57488893400; 57190605590; 58090516400; 55975685500; 57203981844; 56677890400; 54420952900; 41261194400; 36053218200; 57216944691; 57210604549; 57218109775; 56090402400; 57218106801; 55821761900; 6701836202; 55673092300; 15770545200; 56223927600; 57212492716; 56809418500; 36119198500; 56440211700; 57216815967; 57208672034; 56498675800; 57193111202; 57195066717; 57204028825; 57204692056; 57221760223; 57210605480; 57207772531; 57212183214; 6505950362; 55537177800; 36052468600; 57204827517; 58307606800; 57195679666; 36176147700; 58577391600; 58199360000; 56644950500; 14619751100; 54406073800; 57222122130; 57220083739; 57224480732; 57970631900; 56436846000; 54421163800; 57194574570; 57439566100; 57258667000; 57221949418; 58126904300; 57488786700; 57191336735; 57222322762; 57488866000; 57216952789; 55673815500; 57208671709; 56667771600; 57214957739; 57931458500; 57889766600; 56439623500; 57773839700; 58125976000; 57449594000; 36070084600; 54972904200; 57948642200; 56387696700; 57226351250; 57879548300; 55674106600; 56274453800; 56310222100; 58703589900; 56439974900; 54883604300; 36070180000; 57931022700; 55537257700; 57202816090; 56435834300; 58318301800; 6505763698; 57931458600; 57190396215; 58497881900; 57189099775; 56669955400";0,76
571;Ivan Franko National University of Lviv;134;71;"8220567800; 57211298904; 57216026438; 57190274702; 6603217599; 57203925513; 57219746667; 57189593851; 55225981100; 55912772800; 56150998100; 57218953219; 57195681431; 55427987800; 55225672300; 6504291150; 57439566700; 6603688826; 57060609200; 56996154800; 57440084600; 55225984600; 57220893712; 57200182620; 57130994800; 6603822526; 25026149500; 58622537200; 57221836609; 24484083900; 57226784460; 55891587900; 57219234313; 57939883600; 58759200300; 14072151900; 9633976500; 57217083342; 6602615475; 8521299600; 57211999203; 58765745100; 25031702700; 55911323100; 35365171000; 58759289700; 57204917951; 57211010573; 58623341100; 57815771200; 58765615300; 6603717269; 58179241400; 58759376200; 57211998878; 58759157800; 57202581724; 57816090200; 26631678100; 57388176500; 57208600873; 6701870733; 57211296063; 58178909800; 37029017400; 57056522400; 55546799000; 14058507400; 6506030300; 57211757719; 14068931300";1,183098592
1885;Dnipro University of Technology;61;96;"57190132131; 55321271400; 55505723300; 56257961800; 57211574520; 57216951893; 55217669900; 55195700400; 57209974243; 57208569329; 57214245977; 36186186400; 57214753214; 55998953700; 55319986800; 57204159539; 57214756128; 57219915094; 12789550900; 57203935810; 55999106800; 55522250000; 55998874400; 55773319400; 55891727500; 55522393400; 57424236100; 55217708500; 55958409500; 57195196059; 55217727300; 57609606900; 12788930300; 57219511187; 57194195417; 55437076500; 57606537300; 57288556600; 57205432765; 55998725200; 55217589600; 57201902879; 57220267804; 57904163000; 57219008256; 55522741200; 57904380800; 55998596600; 6507622924; 58296647200; 57194188119; 6505609275; 58645043900; 57223115802; 55226002300; 57203781089; 57200159977; 57196274942; 55999351300; 55998407100; 57191853306; 58705508600; 57208567860; 58705800400; 57202766614; 57415645600; 56437756800; 57196274096; 57607480200; 57218893064; 58635757800; 57203998201; 56962713800; 57201484714; 55437727000; 57194557735; 56257816600; 55602693800; 55217953100; 57200267987; 55999144100; 25636868900; 57204391115; 56509642500; 56344503100; 57904162900; 57218242332; 55218814800; 55320692400; 55998725800; 57219004867; 57485575300; 57201251494; 55891511500; 57209004713; 55661603700";0,635416667
