Заголовок;Тип ЗМІ;Джерело;Країна;Регіон;Місто;Рівень видання;Рубрика;Дата виходу;Дата обробки;URL;Анотація;Ім'я автора;Країна автора;Назва місця публікації;Кількість лайків;Кількість репостів;Кількість коментарів;Сумарна кількість переглядів разом із дублями;Тип повідомлення
"Видалити нафіг додаток ""Повітряна тривога"". Бо він вже не буде потрібен";Соціальні мережі;facebook;Україна;Київ (Центральні);;Національний;Информационно-новостные;19.01.2025 21:47;20.01.2025 22:16;https://www.facebook.com/SumyDeMozhlyvoVse/posts/pfbid02sDNBhyFobaXVFNG2wnggYyoP6STYiYv6xJXmXVy2axjwgqUtFJyMW8o29uwr56mVl?comment_id=3892472661023197;"Видалити нафіг додаток ""Повітряна тривога"". Бо він вже не буде потрібен";Vira Kuleba;;Суми де можливо все.;12;;0;;Коментар
У ДОДАТОК ПОВІТРЯНА ТРИВОГА ДОДАЛИ СПОВІЩЕННЯ ПРО НАБЛИЖЕННЯ РОСІЙСЬКИХ РАКЕТ. Додаток Повітряна тривога надсилатиме попередження про підвищену...;Соціальні мережі;twitter;Україна;Київ (Центральні);;;Информационно-новостные;28.02.2024 18:24;28.02.2024 18:53;https://twitter.com/mukhin_ua/status/1762876488926298454;"У ДОДАТОК ПОВІТРЯНА ТРИВОГА ДОДАЛИ СПОВІЩЕННЯ ПРО НАБЛИЖЕННЯ РОСІЙСЬКИХ РАКЕТ.
Додаток Повітряна тривога надсилатиме попередження про підвищену небезпеку в окремих містах та громадах.
Оновлення 6.0 вже доступне для користувачів iOS та Android.";Yurii Mukhin;;Yurii Mukhin;0;0;0;;Пост
"У мене взбунтувався додаток ""повітряна тривога"": на роботі верещить так, що аж три поверхи підскакує, а вдома серед ночі хіба один раз завібрує....";Соціальні мережі;facebook;Україна;Київ (Центральні);;Національний;Информационно-новостные;25.01.2025 09:03;25.01.2025 20:13;https://www.facebook.com/anna.aviva.71/posts/pfbid02mPFh9vSAQFuxnUBmNBY7kghtQz7t33W1ytWJZyHfieZ5dgmHCoHYMQb3pvNTNYv5l?comment_id=1050306803804616;"У мене взбунтувався додаток ""повітряна тривога"": на роботі верещить так, що аж три поверхи підскакує, а вдома серед ночі хіба один раз завібрує. Тож сплю і лише зранку дізнаюся про ситуацію.";Наталія Ґлазунова;Україна;Anna Aviva;0;;1;;Коментар
" Додаток ""Повітряна тривога"" оновили: що змінилося: Відтепер застосунок Повітряна тривога надсилатиме попередження про підвищену небезпеку в...";Соціальні мережі;telegram;;;;;;28.02.2024 19:43;28.02.2024 19:43;https://t.me/volynua/54135;" Додаток ""Повітряна тривога"" оновили: що змінилося:

Відтепер застосунок Повітряна тривога надсилатиме попередження про підвищену небезпеку в окремих містах та громадах. Про це йдеться в блозі Ajax Systems.Про це пише Українська правда, повідомляє ВолиньЮА.В оновленій версії 6.0 сповіщення про наближення ракети чи безпілотного літального апарата над...

#Війна, #Україна

VolynUA.com "; VolynUA  ;; VolynUA  ;;;;;Пост
Додаток повітряна тривога працює шикарно;Соціальні мережі;telegram;;;;;;13.02.2024 23:37;13.02.2024 23:37;https://t.me/poltava/894703;Додаток повітряна тривога працює шикарно;Pino Rhino;;ПОЛТАВА ;;;;;Пост
Додаток повітряна тривога;Соціальні мережі;telegram;;;;;;17.08.2024 06:13;17.08.2024 06:13;https://t.me/komentsylike/2276392;Додаток повітряна тривога;Марія Чеглакова;;SUMYLIKE TG комментарии;;;;;Відповідь
Повітряна тривога! Новий додаток сповіщень про небезпеку в Україні - t.me/operativniy_monitor!;Соціальні мережі;telegram;;;;;;14.12.2024 06:35;14.12.2024 06:49;https://t.me/truexakharkiv/53987;"Повітряна тривога!

Новий додаток сповіщень про небезпеку в Україні - t.me/operativniy_monitor!";ТрухаХарьков;;ТрухаХарьков;;;;;Пост
Повітряна тривога! Над областю висить дрон! Новий додаток сповіщень про небезпеку в Україні - t.me/operativniy_monitor!;Соціальні мережі;telegram;;;;;;13.12.2024 16:19;13.12.2024 16:22;https://t.me/-1001922269129/666284;"Повітряна тривога!

Над областю висить дрон!

Новий додаток сповіщень про небезпеку в Україні - t.me/operativniy_monitor!";$Кирил$;;ТрухаПолтава Chat;;;;;Пост
В МЕНЕ Є ДОДАТОК ПОВІТРЯНА ТРИВОГА.;Соціальні мережі;telegram;;;;;;23.04.2024 19:26;23.04.2024 19:26;https://t.me/svoikrcomment/949050;В МЕНЕ Є ДОДАТОК ПОВІТРЯНА ТРИВОГА.;Берьозкіна Наталія;;ЧАТ | СВОЇ;;;;;Відповідь
"В Україні оновили додаток ""Повітряна тривога"": Ігнат назвав відмінність Як повідомив речник Повітряних сил ЗСУ Юрій Ігнат, в Україні оновили...";Соціальні мережі;telegram;;;;;;29.02.2024 11:32;29.02.2024 11:32;https://t.me/Korupciya/196668;"В Україні оновили додаток ""Повітряна тривога"": Ігнат назвав відмінність

Як повідомив речник Повітряних сил ЗСУ Юрій Ігнат, в Україні оновили додаток ""Повітряна тривога"". Ця версія дозволяє отримати додаткову інформацію про загрозу.

Зокрема, додаток сповіщатиме, коли та чи інша ворожа ціль входитиме у повітряний простір України та небезпеку в тому регіоні, де перебуває користувач.  

";Корупція.Інфо;;Корупція.Інфо;;;;;Пост
