"Authors","Author full names","Author(s) ID","Title","Year","DOI","Link","Affiliations","Authors with affiliations","ISSN","ISBN","CODEN","Open Access"
"Bodyanskiy Y.; Chala O.","Bodyanskiy, Ye. (13105377000); Chala, O. (57211128569)","13105377000; 57211128569","Evolving Stacking Neuro-Fuzzy Probabilistic Networks and Their Combined Learning in Online Pattern Recognition Tasks","2023","10.1007/978-3-031-25759-9_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153384685&doi=10.1007%2f978-3-031-25759-9_6&partnerID=40&md5=2d81d19b2ed7098f25a542aab005c2e9","Control Systems Research Laboratory, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Artifical Intelligence Departement, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine","Bodyanskiy Y., Control Systems Research Laboratory, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Chala O., Artifical Intelligence Departement, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine","1860949X","","",""
"Korostynskyi B.; Vysotska V.; Kupriianov Y.; Chyrun L.; Chyrun S.; Budz I.","Korostynskyi, Bohdan (57815611300); Vysotska, Victoria (24484045400); Kupriianov, Yevhen (57208903412); Chyrun, Lyubomyr (55225672300); Chyrun, Sofia (57211622785); Budz, Ihor (57215582319)","57815611300; 24484045400; 57208903412; 55225672300; 57211622785; 57215582319","Text Content Summarization Technology Based on Machine Learning Methods","2023","10.1109/CSIT61576.2023.10324099","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179847166&doi=10.1109%2fCSIT61576.2023.10324099&partnerID=40&md5=119867eb3bd3505ae44d160df701d6b4","Lviv Polytechnic National University, Information Systems and Networks Department, Lviv, Ukraine; Lviv Polytechnic National University, Lviv, Ukraine; Osnabrück University, Osnabrück, Germany; National Technical University 'KhPI', Intelligent Computer Systems Department, Kharkiv, Ukraine; Ivan Franko National University of Lviv, Applied Mathematics Department, Lviv, Ukraine; Lviv Polytechnic National University, Telecommunication Department, Lviv, Ukraine; Lviv Polytechnic National University, Department of Specialized Computer Systems, Lviv, Ukraine","Korostynskyi B., Lviv Polytechnic National University, Information Systems and Networks Department, Lviv, Ukraine; Vysotska V., Lviv Polytechnic National University, Lviv, Ukraine, Osnabrück University, Osnabrück, Germany; Kupriianov Y., National Technical University 'KhPI', Intelligent Computer Systems Department, Kharkiv, Ukraine; Chyrun L., Ivan Franko National University of Lviv, Applied Mathematics Department, Lviv, Ukraine; Chyrun S., Lviv Polytechnic National University, Telecommunication Department, Lviv, Ukraine; Budz I., Lviv Polytechnic National University, Department of Specialized Computer Systems, Lviv, Ukraine","27663655","979-835036046-2","",""
"Artiushenko O.; da Silva R.F.; Zaitsev V.","Artiushenko, Olena (57210419255); da Silva, Raphael Freire (58525928200); Zaitsev, Volodymyr (12144153100)","57210419255; 58525928200; 12144153100","Recent advances in functional materials for rare earth recovery: A review","2023","10.1016/j.susmat.2023.e00681","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166912070&doi=10.1016%2fj.susmat.2023.e00681&partnerID=40&md5=32a49bf2fd224bddd73cce08555da158","Pontifical Catholic University of Rio de Janeiro, Marquês de São Vicente St. 225, Rio de Janeiro, 22451-900, Brazil; National University of Kyiv-Mohyla Academy, 2 Skovorody vul., Kyiv, 04070, Ukraine","Artiushenko O., Pontifical Catholic University of Rio de Janeiro, Marquês de São Vicente St. 225, Rio de Janeiro, 22451-900, Brazil; da Silva R.F., Pontifical Catholic University of Rio de Janeiro, Marquês de São Vicente St. 225, Rio de Janeiro, 22451-900, Brazil; Zaitsev V., Pontifical Catholic University of Rio de Janeiro, Marquês de São Vicente St. 225, Rio de Janeiro, 22451-900, Brazil, National University of Kyiv-Mohyla Academy, 2 Skovorody vul., Kyiv, 04070, Ukraine","22149937","","","All Open Access; Hybrid Gold Open Access"
"Xu B.; Kuzminykh V.; Zhu S.; Yu J.; Zhang M.; Li S.; Lande D.","Xu, Beibei (57205532394); Kuzminykh, Valeriy (57201372342); Zhu, Shiwei (36443046100); Yu, Junfeng (55624435000); Zhang, Mingjun (57203011156); Li, Sisi (57205531585); Lande, Dmytro (19934022600)","57205532394; 57201372342; 36443046100; 55624435000; 57203011156; 57205531585; 19934022600","Research on Library Construction Driven by Multi-Technology Integration","2023","10.1117/12.2660850","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159273533&doi=10.1117%2f12.2660850&partnerID=40&md5=130eb3e1b0db014b447ab6693c434bfe","Qilu University of Technology (Shandong Academy of Sciences), Jinan, China; Information Research Institute of Shandong Academy of Sciences, Shandong Jinan, Jinan, 250014, China; National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute "", Kyiv, Ukraine; Institute for Information Recording of National Academy of Sciences of Ukraine, Kyiv, Ukraine","Xu B., Qilu University of Technology (Shandong Academy of Sciences), Jinan, China, Information Research Institute of Shandong Academy of Sciences, Shandong Jinan, Jinan, 250014, China, National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute "", Kyiv, Ukraine; Kuzminykh V., National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute "", Kyiv, Ukraine; Zhu S., Qilu University of Technology (Shandong Academy of Sciences), Jinan, China, Information Research Institute of Shandong Academy of Sciences, Shandong Jinan, Jinan, 250014, China, National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute "", Kyiv, Ukraine; Yu J., Qilu University of Technology (Shandong Academy of Sciences), Jinan, China, Information Research Institute of Shandong Academy of Sciences, Shandong Jinan, Jinan, 250014, China, National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute "", Kyiv, Ukraine; Zhang M., Qilu University of Technology (Shandong Academy of Sciences), Jinan, China, Information Research Institute of Shandong Academy of Sciences, Shandong Jinan, Jinan, 250014, China, National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute "", Kyiv, Ukraine; Li S., Qilu University of Technology (Shandong Academy of Sciences), Jinan, China, Information Research Institute of Shandong Academy of Sciences, Shandong Jinan, Jinan, 250014, China; Lande D., Institute for Information Recording of National Academy of Sciences of Ukraine, Kyiv, Ukraine","0277786X","978-151066029-8","PSISD","All Open Access; Bronze Open Access"
"Alexandrov M.; Skitalinskaya G.; Cardiff J.; Koshulko O.; Shushkevich E.","Alexandrov, Mikhail (36730585300); Skitalinskaya, Gabriella (57015468000); Cardiff, John (7801470496); Koshulko, Olexiy (56241818900); Shushkevich, Elena (57204201688)","36730585300; 57015468000; 7801470496; 56241818900; 57204201688","Classifiers for Yelp-Reviews Based on GMDH-Algorithms","2023","10.1007/978-3-031-23804-8_32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149935623&doi=10.1007%2f978-3-031-23804-8_32&partnerID=40&md5=9a9dddf82f137be078c131ac6545480d","FRUCT Association, Helsinki, Finland; Autonomous University of Barcelona, Barcelona, Spain; Institute of Technology Tallaght, Dublin, Ireland; Glushkov Institute of Cybernetics, Kyiv, Ukraine","Alexandrov M., FRUCT Association, Helsinki, Finland, Autonomous University of Barcelona, Barcelona, Spain; Skitalinskaya G., Institute of Technology Tallaght, Dublin, Ireland; Cardiff J., Institute of Technology Tallaght, Dublin, Ireland; Koshulko O., Glushkov Institute of Cybernetics, Kyiv, Ukraine; Shushkevich E., Institute of Technology Tallaght, Dublin, Ireland","03029743","978-303123803-1","",""
"Kostenko V.; Bohomaz O.; Kostenko T.; Berezovskyi A.","Kostenko, Viktor (55857860700); Bohomaz, Olha (57577943600); Kostenko, Tetiana (57196148971); Berezovskyi, Andriy (57226603233)","55857860700; 57577943600; 57196148971; 57226603233","Mechanism of coal aerosol explosion development in an experimental mine working; [Mehanizam razvoja eksplozije ugljenog aerosola u eksperimentalnim rudarskim radovima]","2023","10.17794/rgn.2023.2.10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163170265&doi=10.17794%2frgn.2023.2.10&partnerID=40&md5=4c31b1013fb257dc7592b2a4bb375946","Donetsk National Technical University, 2, Shybankova Square, Donetsk region, Pokrovsk, 85300, Ukraine; Cherkasy Institute of Fire Safety named after Chornobyl Heroes of National University of Civil Defence of Ukraine, 8, Onoprienka Street, Cherkasy, 18034, Ukraine","Kostenko V., Donetsk National Technical University, 2, Shybankova Square, Donetsk region, Pokrovsk, 85300, Ukraine; Bohomaz O., Donetsk National Technical University, 2, Shybankova Square, Donetsk region, Pokrovsk, 85300, Ukraine; Kostenko T., Cherkasy Institute of Fire Safety named after Chornobyl Heroes of National University of Civil Defence of Ukraine, 8, Onoprienka Street, Cherkasy, 18034, Ukraine; Berezovskyi A., Cherkasy Institute of Fire Safety named after Chornobyl Heroes of National University of Civil Defence of Ukraine, 8, Onoprienka Street, Cherkasy, 18034, Ukraine","03534529","","","All Open Access; Gold Open Access"
"Schroeter M.L.; Godulla J.; Thiel F.; Taskin B.; Beutner F.; Dubovoy V.K.; Teren A.; Camilleri J.; Eickhoff S.; Villringer A.; Mueller K.","Schroeter, Matthias L. (7005735585); Godulla, Jannis (58077121500); Thiel, Friederike (56443766900); Taskin, Birol (13612749300); Beutner, Frank (23979611000); Dubovoy, Vladimir K. (8722805000); Teren, Andrej (56127747700); Camilleri, Julia (56950183700); Eickhoff, Simon (9742676000); Villringer, Arno (7007157177); Mueller, Karsten (35574245300)","7005735585; 58077121500; 56443766900; 13612749300; 23979611000; 8722805000; 56127747700; 56950183700; 9742676000; 7007157177; 35574245300","Heart failure decouples the precuneus in interaction with social cognition and executive functions","2023","10.1038/s41598-023-28338-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146740490&doi=10.1038%2fs41598-023-28338-0&partnerID=40&md5=ba3c4b9ce14b701bd098912c3c5d68a1","Clinic for Cognitive Neurology, University Hospital Leipzig, Liebigstr. 16, Leipzig, 04103, Germany; Max Planck Institute for Human Cognitive and Brain Sciences, Stephanstrasse 1A, Leipzig, 04103, Germany; Leipzig Research Center for Civilization Diseases, Leipzig, Germany; Ludwig Maximilians University Munich, Munich, Germany; Leipzig Heart Center, Leipzig, Germany; Karazin Kharkiv National University, Kharkiv, Ukraine; Department of Cardiology and Intensive Care Medicine, Klinikum Bielefeld, Bielefeld, Germany; Institute of Systems Neuroscience, Heinrich-Heine University, Düsseldorf, Germany; Institute of Neuroscience and Medicine (INM-7 Brain and Behaviour), Forschungszentrum Jülich, Jülich, Germany","Schroeter M.L., Clinic for Cognitive Neurology, University Hospital Leipzig, Liebigstr. 16, Leipzig, 04103, Germany, Max Planck Institute for Human Cognitive and Brain Sciences, Stephanstrasse 1A, Leipzig, 04103, Germany, Leipzig Research Center for Civilization Diseases, Leipzig, Germany; Godulla J., Max Planck Institute for Human Cognitive and Brain Sciences, Stephanstrasse 1A, Leipzig, 04103, Germany, Ludwig Maximilians University Munich, Munich, Germany; Thiel F., Clinic for Cognitive Neurology, University Hospital Leipzig, Liebigstr. 16, Leipzig, 04103, Germany, Max Planck Institute for Human Cognitive and Brain Sciences, Stephanstrasse 1A, Leipzig, 04103, Germany; Taskin B., Max Planck Institute for Human Cognitive and Brain Sciences, Stephanstrasse 1A, Leipzig, 04103, Germany; Beutner F., Leipzig Research Center for Civilization Diseases, Leipzig, Germany, Leipzig Heart Center, Leipzig, Germany; Dubovoy V.K., Max Planck Institute for Human Cognitive and Brain Sciences, Stephanstrasse 1A, Leipzig, 04103, Germany, Karazin Kharkiv National University, Kharkiv, Ukraine; Teren A., Leipzig Research Center for Civilization Diseases, Leipzig, Germany, Leipzig Heart Center, Leipzig, Germany, Department of Cardiology and Intensive Care Medicine, Klinikum Bielefeld, Bielefeld, Germany; Camilleri J., Institute of Systems Neuroscience, Heinrich-Heine University, Düsseldorf, Germany, Institute of Neuroscience and Medicine (INM-7 Brain and Behaviour), Forschungszentrum Jülich, Jülich, Germany; Eickhoff S., Institute of Systems Neuroscience, Heinrich-Heine University, Düsseldorf, Germany, Institute of Neuroscience and Medicine (INM-7 Brain and Behaviour), Forschungszentrum Jülich, Jülich, Germany; Villringer A., Clinic for Cognitive Neurology, University Hospital Leipzig, Liebigstr. 16, Leipzig, 04103, Germany, Max Planck Institute for Human Cognitive and Brain Sciences, Stephanstrasse 1A, Leipzig, 04103, Germany, Leipzig Research Center for Civilization Diseases, Leipzig, Germany; Mueller K., Max Planck Institute for Human Cognitive and Brain Sciences, Stephanstrasse 1A, Leipzig, 04103, Germany","20452322","","","All Open Access; Gold Open Access; Green Open Access"
"Uss M.; Vozel B.; Abramov S.; Lukin V.","Uss, Mikhail (18042670600); Vozel, Benoit (6507361722); Abramov, Sergey (7005979784); Lukin, Vladimir (7102438809)","18042670600; 6507361722; 7005979784; 7102438809","Estimation of Sensor Noise Parameters from Remote Sensing Data Using Convolutional Neural Networks and Mixed Synthetic and Real Data","2023","10.1007/978-981-99-4098-1_41","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171540580&doi=10.1007%2f978-981-99-4098-1_41&partnerID=40&md5=aa406e86ba039362d94aede481705daf","National Aerospace University, Chkalova Str.17, Kharkov, 61070, Ukraine; University of Rennes 1, IETR UMR CNRS 6164, Lannion Cedex, 22305, France","Uss M., National Aerospace University, Chkalova Str.17, Kharkov, 61070, Ukraine; Vozel B., University of Rennes 1, IETR UMR CNRS 6164, Lannion Cedex, 22305, France; Abramov S., National Aerospace University, Chkalova Str.17, Kharkov, 61070, Ukraine; Lukin V., National Aerospace University, Chkalova Str.17, Kharkov, 61070, Ukraine","09308989","978-981994097-4","",""
"Korzh A.; Georgiyants M.; Podavalenko A.; Nessonova T.; Maslova V.; Bereznyakov V.; Asoyan I.","Korzh, Alexei (7004882843); Georgiyants, Marine (57193324337); Podavalenko, Alla (39863403100); Nessonova, Tetyana (57264593900); Maslova, Valentyna (58583257400); Bereznyakov, Vladislav (57283619700); Asoyan, Irina (57193719046)","7004882843; 57193324337; 39863403100; 57264593900; 58583257400; 57283619700; 57193719046","Conditions for the expansion of СOVID-19 in the regions of the Northern part of Ukraine Conditions for the expansion of СOVID-19 in Ukraine","2023","10.3329/bjms.v22i4.67108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171367136&doi=10.3329%2fbjms.v22i4.67108&partnerID=40&md5=a05a402ee320a1a85055cf5e377c2669","Department of general practice – family medicine, Kharkiv Medical Academy of Postgraduate Education, Amosova, 58, Kharkiv, 61176, Ukraine; Department of Anesthesiology, Pediatric Anesthesiology and Intensive Care, Kharkiv Medical Academy of Postgraduate Education, Amosova, 58, Kharkiv, 61176, Ukraine; Department of hygiene, epidemiology and occupational illnesses, Kharkiv Medical Academy of Postgraduate Education, Amosova, 58, Kharkiv, Ukraine; Department of Clinical Informatics and IT in Healthcare Management, Kharkiv Medical Academy of Postgraduate Education, Amosova, 58, Kharkiv, 61176, Ukraine; Kharkiv partal clinical hospital of infectious diseases, Heroes of Stalingrad Avenue, 160, Kharkiv, 61000, Ukraine; Department of infectious diseases, Kharkov Medical Academy of Postgraduate Education, Amosova, 58, Kharkiv, 61176, Ukraine","Korzh A., Department of general practice – family medicine, Kharkiv Medical Academy of Postgraduate Education, Amosova, 58, Kharkiv, 61176, Ukraine; Georgiyants M., Department of Anesthesiology, Pediatric Anesthesiology and Intensive Care, Kharkiv Medical Academy of Postgraduate Education, Amosova, 58, Kharkiv, 61176, Ukraine; Podavalenko A., Department of hygiene, epidemiology and occupational illnesses, Kharkiv Medical Academy of Postgraduate Education, Amosova, 58, Kharkiv, Ukraine; Nessonova T., Department of Clinical Informatics and IT in Healthcare Management, Kharkiv Medical Academy of Postgraduate Education, Amosova, 58, Kharkiv, 61176, Ukraine; Maslova V., Kharkiv partal clinical hospital of infectious diseases, Heroes of Stalingrad Avenue, 160, Kharkiv, 61000, Ukraine; Bereznyakov V., Department of general practice – family medicine, Kharkiv Medical Academy of Postgraduate Education, Amosova, 58, Kharkiv, 61176, Ukraine; Asoyan I., Department of infectious diseases, Kharkov Medical Academy of Postgraduate Education, Amosova, 58, Kharkiv, 61176, Ukraine","22234721","","","All Open Access; Gold Open Access"
"Pysarenko P.; Samojlik M.; Taranenko A.; Mostoviak I.; Lavrinenko I.; Shpyrna V.","Pysarenko, Pavlo (57388061700); Samojlik, Maryna (57210948573); Taranenko, Anna (56500207900); Mostoviak, Ivan (57160064700); Lavrinenko, Inna (58155211600); Shpyrna, Vladyslav (58552459600)","57388061700; 57210948573; 56500207900; 57160064700; 58155211600; 58552459600","Efficiency of Probiotic Application for the Remediation of Contaminated Soils in Agrocenoses","2023","10.12912/27197050/168085","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168939847&doi=10.12912%2f27197050%2f168085&partnerID=40&md5=48bc238ecf0493c9004c40ea066a6b50","Poltava State Agrarian University, Skovorody St., 1/3, Poltava, 36003, Ukraine; Uman National University of Horticulture, 1 Instytutska St, Uman, 20305, Ukraine","Pysarenko P., Poltava State Agrarian University, Skovorody St., 1/3, Poltava, 36003, Ukraine; Samojlik M., Poltava State Agrarian University, Skovorody St., 1/3, Poltava, 36003, Ukraine; Taranenko A., Poltava State Agrarian University, Skovorody St., 1/3, Poltava, 36003, Ukraine; Mostoviak I., Uman National University of Horticulture, 1 Instytutska St, Uman, 20305, Ukraine; Lavrinenko I., Poltava State Agrarian University, Skovorody St., 1/3, Poltava, 36003, Ukraine; Shpyrna V., Poltava State Agrarian University, Skovorody St., 1/3, Poltava, 36003, Ukraine","27197050","","","All Open Access; Gold Open Access"
