"Authors","Author full names","Author(s) ID","Title","Year","Link","Affiliations","Authors with affiliations","ISSN","ISBN","CODEN"
"Lytvynenko A.; Mulyk V.","Lytvynenko, Andrii (57218345552); Mulyk, Viacheslav (57200181035)","57218345552; 57200181035","Analysis of the process of emergence and development trends of Ukrainian and Eastern national types of martial arts","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181701787&doi=10.15391%2fsnsv.2023-4.001&partnerID=40&md5=401406fefe93669361dc1cf30024e14f","Kharkiv State Academy of Physical Culture, str. Klochkivska, 99, Kharkiv, 61058, Ukraine; Kharkiv National University of Radio Electronics, Nauky Ave, 14, Kharkiv, 61166, Ukraine","Lytvynenko A., Kharkiv State Academy of Physical Culture, str. Klochkivska, 99, Kharkiv, 61058, Ukraine, Kharkiv National University of Radio Electronics, Nauky Ave, 14, Kharkiv, 61166, Ukraine; Mulyk V., Kharkiv State Academy of Physical Culture, str. Klochkivska, 99, Kharkiv, 61058, Ukraine","19910177","",""
"Sarabeev V.; Ovcharenko M.; Jarosiewicz A.; Ahmed A.; Sueiro R.A.; Leiro J.M.","Sarabeev, Volodimir (6507221652); Ovcharenko, Mykola (6602097287); Jarosiewicz, Anna (6506875069); Ahmed, Abdulmalik (57728597500); Sueiro, Rosa Ana (6602935730); Leiro, Jose Manuel (36953986900)","6507221652; 6602097287; 6506875069; 57728597500; 6602935730; 36953986900","Database on eukaryotic symbionts of native and invasive gammarids (Crustacea, Amphipoda) in the Baltic region of Poland with information on water parameters for sampling sites","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162024308&doi=10.1016%2fj.dib.2023.109308&partnerID=40&md5=63b2a4d51384231e0542044f1be5c2f8","Department of Biology, Zaporizhzhia National University, Zhukovskogo 66, Zaporizhzhia, 69063, Ukraine; Institute of Parasitology, Slovak Academy of Sciences, Hlinkova 3, Košice, 04001, Slovakia; Institute of Biology and Science of Earth, Pomeranian University in Słupsk, Arciszewskiego 22b, Słupsk, 76200, Poland; Department of Microbiology and Parasitology, Institute of Research in Biological and Chemical Analysis, University of Santiago de Compostela, Santiago de Compostela, 15782, Spain","Sarabeev V., Department of Biology, Zaporizhzhia National University, Zhukovskogo 66, Zaporizhzhia, 69063, Ukraine, Institute of Parasitology, Slovak Academy of Sciences, Hlinkova 3, Košice, 04001, Slovakia; Ovcharenko M., Institute of Biology and Science of Earth, Pomeranian University in Słupsk, Arciszewskiego 22b, Słupsk, 76200, Poland; Jarosiewicz A., Institute of Biology and Science of Earth, Pomeranian University in Słupsk, Arciszewskiego 22b, Słupsk, 76200, Poland; Ahmed A., Department of Biology, Zaporizhzhia National University, Zhukovskogo 66, Zaporizhzhia, 69063, Ukraine; Sueiro R.A., Department of Microbiology and Parasitology, Institute of Research in Biological and Chemical Analysis, University of Santiago de Compostela, Santiago de Compostela, 15782, Spain; Leiro J.M., Department of Microbiology and Parasitology, Institute of Research in Biological and Chemical Analysis, University of Santiago de Compostela, Santiago de Compostela, 15782, Spain","23523409","",""
"Tsmots I.; Teslyuk V.; Kryvinska N.; Skorokhoda O.; Kazymyra I.","Tsmots, Ivan (24484154400); Teslyuk, Vasyl (24315132000); Kryvinska, Natalia (6507487726); Skorokhoda, Oleksa (36195879900); Kazymyra, Iryna (6506122326)","24484154400; 24315132000; 6507487726; 36195879900; 6506122326","Development of a generalized model for parallel-streaming neural element and structures for scalar product calculation devices","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139207102&doi=10.1007%2fs11227-022-04838-0&partnerID=40&md5=cd8dc5837a749b4ec4f52c6414899bf7","Department of Automated Control Systems, Lviv Polytechnic National University, Lviv, Ukraine; Department of Information Systems, Faculty of Management, Comenius University in Bratislava, Bratislava, Slovakia","Tsmots I., Department of Automated Control Systems, Lviv Polytechnic National University, Lviv, Ukraine; Teslyuk V., Department of Automated Control Systems, Lviv Polytechnic National University, Lviv, Ukraine; Kryvinska N., Department of Information Systems, Faculty of Management, Comenius University in Bratislava, Bratislava, Slovakia; Skorokhoda O., Department of Automated Control Systems, Lviv Polytechnic National University, Lviv, Ukraine; Kazymyra I., Department of Automated Control Systems, Lviv Polytechnic National University, Lviv, Ukraine","09208542","","JOSUE"
"Mamedova L.; Rukovich A.; Likhouzova T.; Vorona-Slivinskaya L.","Mamedova, Larisa (57552818800); Rukovich, Alexander (57196258003); Likhouzova, Tetiana (57223440203); Vorona-Slivinskaya, Lubov (57208961499)","57552818800; 57196258003; 57223440203; 57208961499","Online education of engineering students: Educational platforms and their influence on the level of academic performance","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153589351&doi=10.1007%2fs10639-023-11822-5&partnerID=40&md5=4ebd0e262c655b536dbe7fd022450b41","Department of Pedagogy and Methods of Primary Education, Technical Institute (branch) of the State Autonomous Educational Institution of Higher Professional Education North-Eastern Federal Institute of MK Ammosova in Neryungri, Neryungri, Russian Federation; Department of Computer Science and Software Engineering, National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”, Kyiv, Ukraine; Department, University of Construction Technology, Saint Petersburg State University of Architecture and Civil Engineering (SPbGASU), Saint Petersburg, Russian Federation","Mamedova L., Department of Pedagogy and Methods of Primary Education, Technical Institute (branch) of the State Autonomous Educational Institution of Higher Professional Education North-Eastern Federal Institute of MK Ammosova in Neryungri, Neryungri, Russian Federation; Rukovich A., Department of Pedagogy and Methods of Primary Education, Technical Institute (branch) of the State Autonomous Educational Institution of Higher Professional Education North-Eastern Federal Institute of MK Ammosova in Neryungri, Neryungri, Russian Federation; Likhouzova T., Department of Computer Science and Software Engineering, National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”, Kyiv, Ukraine; Vorona-Slivinskaya L., Department, University of Construction Technology, Saint Petersburg State University of Architecture and Civil Engineering (SPbGASU), Saint Petersburg, Russian Federation","13602357","",""
"Zinchenko V.; Boichenko M.; Slyusarenko O.; Popovych M.; Radchenko L.; Polishchuk O.","Zinchenko, Viktor (56244928700); Boichenko, Mykhailo (57209587504); Slyusarenko, Olena (58601673800); Popovych, Mykola (57222225610); Radchenko, Lidiia (57213160747); Polishchuk, Oleksandr (58046113100)","56244928700; 57209587504; 58601673800; 57222225610; 57213160747; 58046113100","Science trends and Digital immortality: AI accelerates movement towards an unattainable goal","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171591094&doi=10.1051%2fe3sconf%2f202341902002&partnerID=40&md5=73824a4481547725653fd462b076f765","Institute of Higher Education, National Academy of Educational Sciences of Ukraine, Kyiv, Ukraine; Taras Shevcenko National University of Kyiv, Kyiv, Ukraine; Higher Educational Institution Podillia State University, Kamianets-Podilskyi, Ukraine; National University of Ukraine on Physical Education and Sport1, Kyiv, Ukraine; Khmelnytskyi Humanitarian-Pedagogical Academy, Khmelnytskyi, Ukraine","Zinchenko V., Institute of Higher Education, National Academy of Educational Sciences of Ukraine, Kyiv, Ukraine; Boichenko M., Taras Shevcenko National University of Kyiv, Kyiv, Ukraine; Slyusarenko O., Institute of Higher Education, National Academy of Educational Sciences of Ukraine, Kyiv, Ukraine; Popovych M., Higher Educational Institution Podillia State University, Kamianets-Podilskyi, Ukraine; Radchenko L., National University of Ukraine on Physical Education and Sport1, Kyiv, Ukraine; Polishchuk O., Khmelnytskyi Humanitarian-Pedagogical Academy, Khmelnytskyi, Ukraine","25550403","",""
"Mehta A.; Kumar H.; Yazji K.; Wireko A.A.; Sivanandan Nagarajan J.; Ghosh B.; Nahas A.; Morales Ojeda L.; Anand A.; Sharath M.; Huang H.; Garg T.; Isik A.","Mehta, Aashna (57576064000); Kumar, Harendra (57618679600); Yazji, Katia (57226271017); Wireko, Andrew A. (57258667000); Sivanandan Nagarajan, Jai (58202841700); Ghosh, Bikona (57989739200); Nahas, Ahmad (58202868500); Morales Ojeda, Luis (58199980100); Anand, Ayush (57226559024); Sharath, Medha (57374549400); Huang, Helen (57578256800); Garg, Tulika (57852440400); Isik, Arda (57159146500)","57576064000; 57618679600; 57226271017; 57258667000; 58202841700; 57989739200; 58202868500; 58199980100; 57226559024; 57374549400; 57578256800; 57852440400; 57159146500","Effectiveness of artificial intelligence-assisted colonoscopy in early diagnosis of colorectal cancer: a systematic review","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153899052&doi=10.1097%2fJS9.0000000000000285&partnerID=40&md5=e99bc3ace358e8113833c105521b9713","Faculty of Medicine, University of Debrecen, Debrecen, Hungary; Dow University of Health Sciences, Karachi, Pakistan; RCSI University of Medicine and Health Sciences, Dublin, Ireland; Sumy State University, Sumy, Ukraine; SRM College Hospital and Research Centre Los Angeles; Dhaka Medical College and Hospital, Dhaka, Bangladesh; Institute of Urology, University of Southern California, United States; BP Koirala Institute of Health Sciences, Dharan, Nepal; Bangalore Medical College and Research Institute, Bangalore, Karnataka, India; Government Medical College and Hospital, Chandigarh, Punjab, India; Department of General Surgery, Istanbul Medeniyet University, Istanbul, Turkey","Mehta A., Faculty of Medicine, University of Debrecen, Debrecen, Hungary; Kumar H., Dow University of Health Sciences, Karachi, Pakistan; Yazji K., RCSI University of Medicine and Health Sciences, Dublin, Ireland; Wireko A.A., Sumy State University, Sumy, Ukraine; Sivanandan Nagarajan J., SRM College Hospital and Research Centre Los Angeles; Ghosh B., Dhaka Medical College and Hospital, Dhaka, Bangladesh; Nahas A., Faculty of Medicine, University of Debrecen, Debrecen, Hungary; Morales Ojeda L., Institute of Urology, University of Southern California, United States; Anand A., BP Koirala Institute of Health Sciences, Dharan, Nepal; Sharath M., Bangalore Medical College and Research Institute, Bangalore, Karnataka, India; Huang H., RCSI University of Medicine and Health Sciences, Dublin, Ireland; Garg T., Government Medical College and Hospital, Chandigarh, Punjab, India; Isik A., Department of General Surgery, Istanbul Medeniyet University, Istanbul, Turkey","17439159","",""
"Tkachenko T.","Tkachenko, Tetiana (58672303100)","58672303100","„Essay” Polissya of Fedir Odrach","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175315695&doi=10.36770%2fbp.802&partnerID=40&md5=650abdb43a1cb924b0549bdd733f0333","Kijowski Narodowy Uniwersytet Ekonomiczny im. Wadyma Hetmana, Ukraine","Tkachenko T., Kijowski Narodowy Uniwersytet Ekonomiczny im. Wadyma Hetmana, Ukraine","16407806","",""
"Tupikina L.; Nematollahi Y.; Kisseleva O.; Afanasiev V.; Monechi B.","Tupikina, Liubov (56251952300); Nematollahi, Yasamin (58314234400); Kisseleva, Olga (56993645500); Afanasiev, Vlad (58314984400); Monechi, Bernardo (36961183500)","56251952300; 58314234400; 56993645500; 58314984400; 36961183500","Exploring Hidden City Patterns with Urban Walks and Citizen Science Data; [Die Erforschung verborgener Stadtstrukturen mit urbanen Spaziergängen und Bürgerwissenschaftsdaten]","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162004811&doi=10.1007%2fs42489-023-00138-6&partnerID=40&md5=ee0bc4f044413ff49ebe1d02c8827563","Inserm, System Engineering and Evolution Dynamics, Learning Planet Institute, Universite Paris Cite, Paris, France; Sorbonne University, Paris, France; Kyiv, Ukraine; The Institute for Advanced Architecture of Catalonia, Barcelona, Spain; Sony Lab, Rome, Italy","Tupikina L., Inserm, System Engineering and Evolution Dynamics, Learning Planet Institute, Universite Paris Cite, Paris, France; Nematollahi Y., Inserm, System Engineering and Evolution Dynamics, Learning Planet Institute, Universite Paris Cite, Paris, France; Kisseleva O., Sorbonne University, Paris, France; Afanasiev V., Kyiv, Ukraine, The Institute for Advanced Architecture of Catalonia, Barcelona, Spain; Monechi B., Sony Lab, Rome, Italy","25244957","",""
"Pavlenko V.; Fedorchenko A.; Ponomarenko I.; Chorna O.; Morhulets O.; Pylypenko V.","Pavlenko, Volodymyr (57357228600); Fedorchenko, Andrii (57288541100); Ponomarenko, Ihor (57462354200); Chorna, Olha (57202610196); Morhulets, Oksana (58759111200); Pylypenko, Vladyslav (58089336700)","57357228600; 57288541100; 57462354200; 57202610196; 58759111200; 58089336700","Creating Educational Products With Using Data Science and Digital Marketing","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179516518&doi=10.1109%2fKhPIWeek61412.2023.10312906&partnerID=40&md5=b5747d62fcbce8f52cd8f68b52972ef7","Faculty of Mechatronics and Computer Technologies, Kyiv National University of Technologies and Design, Kyiv, Ukraine; Department of Marketing named after A.F. Pavlenko, Kyiv National Economics University named after Vadym Hetman, Kyiv, Ukraine; Department of Marketing and Communication Design, Kyiv National University of Technologies and Design, Kyiv, Ukraine; Department of Computer Engineering and Electronics, Kremenchuk Mykhailo Ostrohradskyi National University, Kremenchuk, Ukraine; Department of Tourism, Hotel and Restaurant Business, Kyiv National University of Technologies and Design, Kyiv, Ukraine; Department of Information and Computer technologies, Kyiv National University of Technologies and Design, Kyiv, Ukraine","Pavlenko V., Faculty of Mechatronics and Computer Technologies, Kyiv National University of Technologies and Design, Kyiv, Ukraine; Fedorchenko A., Department of Marketing named after A.F. Pavlenko, Kyiv National Economics University named after Vadym Hetman, Kyiv, Ukraine; Ponomarenko I., Department of Marketing and Communication Design, Kyiv National University of Technologies and Design, Kyiv, Ukraine; Chorna O., Department of Computer Engineering and Electronics, Kremenchuk Mykhailo Ostrohradskyi National University, Kremenchuk, Ukraine; Morhulets O., Department of Tourism, Hotel and Restaurant Business, Kyiv National University of Technologies and Design, Kyiv, Ukraine; Pylypenko V., Department of Information and Computer technologies, Kyiv National University of Technologies and Design, Kyiv, Ukraine","","979-835039553-2",""
"González-Serrano M.H.; Valantine I.; Matić R.; Milovanović I.; Sushko R.; Calabuig F.","González-Serrano, María Huertas (57194088383); Valantine, Irena (55893105300); Matić, Radenko (35574025800); Milovanović, Ivana (57211483229); Sushko, Ruslana (57211164804); Calabuig, Ferran (57221284025)","57194088383; 55893105300; 35574025800; 57211483229; 57211164804; 57221284025","Determinants of entrepreneurial intentions in European sports science students: Towards the development of future sports entrepreneurs","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175550467&doi=10.1016%2fj.iedeen.2023.100229&partnerID=40&md5=09c075a245d1fdbd48c36380deb4df49","Departament d´Educació Física i Esportiva, Universitat de València, Valencia, Spain; Department of Sport and Tourism Management, Lithuanian Sports University, Kaunas, Lithuania; Faculty of Sport and Physical Education, University of Novi Sad, Novi Sad, Serbia; Faculty of Health, Physical Education and Sports, Borys Grinchenko Kyiv University, Kyiv, Ukraine","González-Serrano M.H., Departament d´Educació Física i Esportiva, Universitat de València, Valencia, Spain; Valantine I., Department of Sport and Tourism Management, Lithuanian Sports University, Kaunas, Lithuania; Matić R., Faculty of Sport and Physical Education, University of Novi Sad, Novi Sad, Serbia; Milovanović I., Faculty of Sport and Physical Education, University of Novi Sad, Novi Sad, Serbia; Sushko R., Faculty of Health, Physical Education and Sports, Borys Grinchenko Kyiv University, Kyiv, Ukraine; Calabuig F., Departament d´Educació Física i Esportiva, Universitat de València, Valencia, Spain","24448834","",""
