"Authors","Author full names","Author(s) ID","Title","Year","Link","Affiliations","Authors with affiliations","ISSN","ISBN","CODEN"
"Kolesnykov A.; Semenova S.; Oliinyk T.; Kyrylenko H.","Kolesnykov, Andrii (58540037200); Semenova, Svitlana (58722750600); Oliinyk, Tetiana (58722750700); Kyrylenko, Halyna (58723008200)","58540037200; 58722750600; 58722750700; 58723008200","Quantitative investigation of polymer composites' destructions structures","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177856537&doi=10.1063%2f5.0167709&partnerID=40&md5=47996f4828de64d2e2ddc10559a090d0","Odessa State Academy of Civil Engineering and Architecture, Didrikson str., 4, Odessa, 65029, Ukraine","Kolesnykov A., Odessa State Academy of Civil Engineering and Architecture, Didrikson str., 4, Odessa, 65029, Ukraine; Semenova S., Odessa State Academy of Civil Engineering and Architecture, Didrikson str., 4, Odessa, 65029, Ukraine; Oliinyk T., Odessa State Academy of Civil Engineering and Architecture, Didrikson str., 4, Odessa, 65029, Ukraine; Kyrylenko H., Odessa State Academy of Civil Engineering and Architecture, Didrikson str., 4, Odessa, 65029, Ukraine","0094243X","",""
"Gorokhovatskyi V.; Tvoroshenko I.; Kobylin O.; Vlasenko N.","Gorokhovatskyi, Volodymyr (6506997369); Tvoroshenko, Iryna (57211556518); Kobylin, Oleg (56845919400); Vlasenko, Nataliia (55930369500)","6506997369; 57211556518; 56845919400; 55930369500","Search for Visual Objects by Request in the Form of a Cluster Representation for the Structural Image Description","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165872795&doi=10.15598%2faeee.v21i1.4661&partnerID=40&md5=69aaee4a002d13356ce5f52f7fc67fd6","Department of Informatics, Kharkiv National University of Radio Electronics, Nauky Ave. 14, Kharkiv, 61166, Ukraine; Department of Informatics and Computer Engineering, Simon Kuznets Kharkiv National University of Economics, Nauky Ave. 9-A, Kharkiv, 61166, Ukraine","Gorokhovatskyi V., Department of Informatics, Kharkiv National University of Radio Electronics, Nauky Ave. 14, Kharkiv, 61166, Ukraine; Tvoroshenko I., Department of Informatics, Kharkiv National University of Radio Electronics, Nauky Ave. 14, Kharkiv, 61166, Ukraine; Kobylin O., Department of Informatics, Kharkiv National University of Radio Electronics, Nauky Ave. 14, Kharkiv, 61166, Ukraine; Vlasenko N., Department of Informatics and Computer Engineering, Simon Kuznets Kharkiv National University of Economics, Nauky Ave. 9-A, Kharkiv, 61166, Ukraine","13361376","",""
"Uss M.; Vozel B.; Abramov S.; Lukin V.","Uss, Mikhail (18042670600); Vozel, Benoit (6507361722); Abramov, Sergey (7005979784); Lukin, Vladimir (7102438809)","18042670600; 6507361722; 7005979784; 7102438809","Estimation of Sensor Noise Parameters from Remote Sensing Data Using Convolutional Neural Networks and Mixed Synthetic and Real Data","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171540580&doi=10.1007%2f978-981-99-4098-1_41&partnerID=40&md5=aa406e86ba039362d94aede481705daf","National Aerospace University, Chkalova Str.17, Kharkov, 61070, Ukraine; University of Rennes 1, IETR UMR CNRS 6164, Lannion Cedex, 22305, France","Uss M., National Aerospace University, Chkalova Str.17, Kharkov, 61070, Ukraine; Vozel B., University of Rennes 1, IETR UMR CNRS 6164, Lannion Cedex, 22305, France; Abramov S., National Aerospace University, Chkalova Str.17, Kharkov, 61070, Ukraine; Lukin V., National Aerospace University, Chkalova Str.17, Kharkov, 61070, Ukraine","09308989","978-981994097-4",""
"Spirin A.; Borysiuk D.; Tsurkan O.; Tverdokhlib I.; Trukhanska O.; Veselovska N.","Spirin, Anatolii (57189698457); Borysiuk, Dmytro (57201400076); Tsurkan, Oleh (57189444137); Tverdokhlib, Ihor (57189696712); Trukhanska, Olena (57203904657); Veselovska, Natalia (57193455338)","57189698457; 57201400076; 57189444137; 57189696712; 57203904657; 57193455338","Research of the method of calculating the area of a binary image; [Badanie metody obliczania pola obrazu binarnego]","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175009799&doi=10.15199%2f48.2023.10.24&partnerID=40&md5=f9686770b1169da682d71b350b73082a","Separated structural unit «Ladyzhyn Professional College of Vinnytsia National Agrarian University», 5 Kravchik Petro St., Vinnytsia Region, Ladyzhyn, 24321, Ukraine; Faculty of Mechanical Engineering and Transport, Vinnytsia National Technical University, 95 Khmel'nyts'ke Highway, Vinnytsia, 21021, Ukraine; Faculty of Engineering and Technology, Vinnytsia National Agrarian University, 3 Sonyachna str., Vinnytsia, 21008, Ukraine","Spirin A., Separated structural unit «Ladyzhyn Professional College of Vinnytsia National Agrarian University», 5 Kravchik Petro St., Vinnytsia Region, Ladyzhyn, 24321, Ukraine; Borysiuk D., Faculty of Mechanical Engineering and Transport, Vinnytsia National Technical University, 95 Khmel'nyts'ke Highway, Vinnytsia, 21021, Ukraine; Tsurkan O., Separated structural unit «Ladyzhyn Professional College of Vinnytsia National Agrarian University», 5 Kravchik Petro St., Vinnytsia Region, Ladyzhyn, 24321, Ukraine; Tverdokhlib I., Faculty of Engineering and Technology, Vinnytsia National Agrarian University, 3 Sonyachna str., Vinnytsia, 21008, Ukraine; Trukhanska O., Faculty of Engineering and Technology, Vinnytsia National Agrarian University, 3 Sonyachna str., Vinnytsia, 21008, Ukraine; Veselovska N., Faculty of Engineering and Technology, Vinnytsia National Agrarian University, 3 Sonyachna str., Vinnytsia, 21008, Ukraine","00332097","",""
"Yevgrafov D.; Yaremchuk Y.","Yevgrafov, Dmytro (23996023000); Yaremchuk, Yurii (57369242000)","23996023000; 57369242000","ASYMPTOTICALLY OPTIMAL ALGORITHM FOR PROCESSING SIDE RADIATION SIGNALS FROM MONITOR SCREENS ON LIQUID CRYSTAL STRUCTURES; [ASYMPTOTYCZNIE OPTYMALNY ALGORYTM PRZETWARZANIA SYGNAŁÓW PROMIENIOWANIA BOCZNEGO Z EKRANÓW MONITORÓW LCD]","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180486084&doi=10.35784%2fiapgos.5586&partnerID=40&md5=30f5fe3827c48668ba653ee1e47f9f13","Vinnytsia National Technical University, Vinnytsia, Ukraine","Yevgrafov D., Vinnytsia National Technical University, Vinnytsia, Ukraine; Yaremchuk Y., Vinnytsia National Technical University, Vinnytsia, Ukraine","20830157","",""
"Grytsenko S.Y.; Dzyubanovsky I.Y.; Bedeniuk A.D.; Hrytsenko I.Y.; Prodan A.M.","Grytsenko, Stepan Y. (57217174355); Dzyubanovsky, Ihor Y. (57818298800); Bedeniuk, Anatoliy D. (57818211000); Hrytsenko, Ivanna Y. (57818178200); Prodan, Andriy M. (58778162500)","57217174355; 57818298800; 57818211000; 57818178200; 58778162500","Clinical outcomes and radiological assessment of vascular anatomy in patients who underwent D3 left hemicolectomy; [Resultados clínicos y evaluación radiológica de la anatomía vascular en pacientes sometidos a hemicolectomía izquierda D3]","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180533307&doi=10.24875%2fCIRU.22000425&partnerID=40&md5=812cba626cca50a23a40ab4271119e92","Department of Surgery №1 with Urology and Minimal Invasive Surgery, L.Ya. Kovalchuk, I.Y. Horbachevsky National Medical University, Ternopil, Ukraine; Medical Center «Omega», Kyiv, Ukraine","Grytsenko S.Y., Department of Surgery №1 with Urology and Minimal Invasive Surgery, L.Ya. Kovalchuk, I.Y. Horbachevsky National Medical University, Ternopil, Ukraine; Dzyubanovsky I.Y., Department of Surgery №1 with Urology and Minimal Invasive Surgery, L.Ya. Kovalchuk, I.Y. Horbachevsky National Medical University, Ternopil, Ukraine; Bedeniuk A.D., Department of Surgery №1 with Urology and Minimal Invasive Surgery, L.Ya. Kovalchuk, I.Y. Horbachevsky National Medical University, Ternopil, Ukraine; Hrytsenko I.Y., Medical Center «Omega», Kyiv, Ukraine; Prodan A.M., Department of Surgery №1 with Urology and Minimal Invasive Surgery, L.Ya. Kovalchuk, I.Y. Horbachevsky National Medical University, Ternopil, Ukraine","00097411","","CICIA"
"Nosov K.V.; Bespalov Y.G.; Klochko T.O.; Vysotska O.V.","Nosov, Kostiantyn V. (24074681000); Bespalov, Yriy G. (57195682869); Klochko, Tetiana O. (57205566730); Vysotska, Olena V. (57193325956)","24074681000; 57195682869; 57205566730; 57193325956","Modeling the Structure of an Aggregation of Toxic Cyanobacteria When Planning Their Elimination from the Air","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172186353&doi=10.1007%2f978-3-031-36201-9_27&partnerID=40&md5=1dc003f4c84987d655df0bf9e844a9ae","V.N. Karazin Kharkiv National University, 4 Svobody Sq., Kharkiv, 61022, Ukraine; National Aerospace University –Kharkiv Aviation Institute, Kharkiv, Ukraine","Nosov K.V., V.N. Karazin Kharkiv National University, 4 Svobody Sq., Kharkiv, 61022, Ukraine; Bespalov Y.G., V.N. Karazin Kharkiv National University, 4 Svobody Sq., Kharkiv, 61022, Ukraine; Klochko T.O., National Aerospace University –Kharkiv Aviation Institute, Kharkiv, Ukraine; Vysotska O.V., National Aerospace University –Kharkiv Aviation Institute, Kharkiv, Ukraine","23673370","978-303136200-2",""
"Kortus T.; Keidel R.; Gauger N.R.; Aehle M.; Alme J.; Barnaföldi G.G.; Bodova T.; Borshchov V.; Vanden Brink A.; Chaar M.; Eikeland V.; Feofilov G.; Garth C.; Genov G.; Grøttvik O.; Helstrup H.; Igolkin S.; Kobdaj C.; Leonhardt V.; Mehendale S.; Mulawade R.N.; Odland O.H.; O'Neill G.; Papp G.; Peitzmann T.; Pettersen H.E.S.; Piersimoni P.; Protsenko M.; Rauch M.; Ur Rehman A.; Richter M.; Röhrich D.; Santana J.; Schilling A.; Seco J.; Songmoolnak A.; Sudár Á.; Salie J.R.; Tambave G.; Tymchuk I.; Ullaland K.; Varga-Kofarago M.; Volz L.; Wagner B.; Wendzel S.; Wiebel A.; Xiao R.; Yang S.; Yokoyama H.; Zillien S.","Kortus, Tobias (57226191189); Keidel, Ralf (14018037700); Gauger, Nicolas R. (6506992224); Aehle, Max (57226182887); Alme, Johan (14017839600); Barnaföldi, Gergely Gábor (57202567842); Bodova, Tea (57217070280); Borshchov, Vyacheslav (13609149600); Vanden Brink, Anthony (58697386100); Chaar, Mamdouh (15736643100); Eikeland, Viljar (57209181181); Feofilov, Gregory (7006940332); Garth, Christoph (23099744400); Genov, Georgi (6603828986); Grøttvik, Ola (57209175643); Helstrup, Håvard (6701607173); Igolkin, Sergey (6506043240); Kobdaj, Chinorat (57194221209); Leonhardt, Viktor (57224081750); Mehendale, Shruti (57209174838); Mulawade, Raju Ningappa (57226196316); Odland, Odd Harald (6507113550); O'Neill, George (58612807000); Papp, Gabor (35564101600); Peitzmann, Thomas (57205274307); Pettersen, Helge Egil Seime (57194014716); Piersimoni, Pierluigi (56241682100); Protsenko, Maksym (14523312300); Rauch, Max (7005831821); Ur Rehman, Attiq (25823353200); Richter, Matthias (57193396583); Röhrich, Dieter (7004734027); Santana, Joshua (57226191436); Schilling, Alexander (57226193874); Seco, Joao (8731672900); Songmoolnak, Arnon (57204365090); Sudár, Ákos (57219820325); Salie, Jarle Rambo (58697109300); Tambave, Ganesh (35729861900); Tymchuk, Ihor (14523615200); Ullaland, Kjetil (14018748700); Varga-Kofarago, Monika (57205464510); Volz, Lennart (57193329112); Wagner, Boris (38962122800); Wendzel, Steffen (53868507600); Wiebel, Alexander (14828309700); Xiao, RenZheng (55632887800); Yang, Shiming (57215371263); Yokoyama, Hiroki (55261494900); Zillien, Sebastian (57203093198)","57226191189; 14018037700; 6506992224; 57226182887; 14017839600; 57202567842; 57217070280; 13609149600; 58697386100; 15736643100; 57209181181; 7006940332; 23099744400; 6603828986; 57209175643; 6701607173; 6506043240; 57194221209; 57224081750; 57209174838; 57226196316; 6507113550; 58612807000; 35564101600; 57205274307; 57194014716; 56241682100; 14523312300; 7005831821; 25823353200; 57193396583; 7004734027; 57226191436; 57226193874; 8731672900; 57204365090; 57219820325; 58697109300; 35729861900; 14523615200; 14018748700; 57205464510; 57193329112; 38962122800; 53868507600; 14828309700; 55632887800; 57215371263; 55261494900; 57203093198","Towards Neural Charged Particle Tracking in Digital Tracking Calorimeters With Reinforcement Learning","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168280255&doi=10.1109%2fTPAMI.2023.3305027&partnerID=40&md5=4cb0d57d1565b2ea27407e5042c0e7a8","Scientific Computing, TU Kaiserslautern, Kaiserslautern, 67663, Germany; Department of Physics and Technology, University of Bergen, Bergen, 5007, Norway; Wigner Research Centre for Physics, Budapest, Hungary; Research and Production Enterprise LTU (RPELTU), Kharkiv, Ukraine; Institute for Subatomic Physics, Utrecht University/Nikhef, Utrecht, Netherlands; St. Petersburg University, St. Petersburg, Russian Federation; ScientificVisualization Lab, TUKaiserslautern, Kaiserslautern, 67663, Germany; Department of Computer Science, Electrical Engineering and Mathematical Sciences, Western Norway University of Applied Sciences, Bergen, 5020, Norway; Center for Technology and Transfer (ZTT), University of Applied Sciences Worms, Worms, Germany; Institute of Science, Suranaree University of Technology, Nakhon Ratchasima, Thailand; Department of Oncology and Medical Physics, Haukeland University Hospital, Bergen, 5021, Norway; Institute for Physics, Eötvös Loránd University, 1/A Pázmány P. Sétány, Budapest, H-1117, Hungary; UniCamillus-Saint Camillus International University of Health Sciences, Rome, Italy; Department of Physics, University of Oslo, Oslo, 0371, Norway; Department of Biomedical Physics in Radiation Oncology, DKFZ-German Cancer Research Center, Heidelberg, Germany; Department of Physics and Astronomy, Heidelberg University, Heidelberg, Germany; Budapest University of Technology and Economics, Budapest, Hungary; Department of Diagnostic Physics, Division of Radiology and Nuclear Medicine, Oslo University Hospital, Oslo, Norway; Center for Medical and Radiation Physics (CMRP), National Institute of Science Education and Research (NISER), Bhubaneswar, India; Biophysics, GSI Helmholtz Center for Heavy Ion Research GmbH, Darmstadt, Germany; Department of Medical Physics and Biomedical Engineering, University College London, London, United Kingdom; College of Mechanical & Power Engineering, China Three Gorges University, Yichang, China; University of Applied Sciences Worms, Center for Technology and Transfer (ZTT), Worms, 67549, Germany; TU Kaiserslautern, Scientific Computing, Kaiserslautern, 67663, Germany","Kortus T., University of Applied Sciences Worms, Center for Technology and Transfer (ZTT), Worms, 67549, Germany; Keidel R., University of Applied Sciences Worms, Center for Technology and Transfer (ZTT), Worms, 67549, Germany; Gauger N.R., TU Kaiserslautern, Scientific Computing, Kaiserslautern, 67663, Germany; Aehle M., Scientific Computing, TU Kaiserslautern, Kaiserslautern, 67663, Germany; Alme J., Department of Physics and Technology, University of Bergen, Bergen, 5007, Norway; Barnaföldi G.G., Wigner Research Centre for Physics, Budapest, Hungary; Bodova T., Department of Physics and Technology, University of Bergen, Bergen, 5007, Norway; Borshchov V., Research and Production Enterprise LTU (RPELTU), Kharkiv, Ukraine; Vanden Brink A., Institute for Subatomic Physics, Utrecht University/Nikhef, Utrecht, Netherlands; Chaar M., Department of Physics and Technology, University of Bergen, Bergen, 5007, Norway; Eikeland V., Department of Physics and Technology, University of Bergen, Bergen, 5007, Norway; Feofilov G., St. Petersburg University, St. Petersburg, Russian Federation; Garth C., ScientificVisualization Lab, TUKaiserslautern, Kaiserslautern, 67663, Germany; Genov G., Department of Physics and Technology, University of Bergen, Bergen, 5007, Norway; Grøttvik O., Department of Physics and Technology, University of Bergen, Bergen, 5007, Norway; Helstrup H., Department of Computer Science, Electrical Engineering and Mathematical Sciences, Western Norway University of Applied Sciences, Bergen, 5020, Norway; Igolkin S., St. Petersburg University, St. Petersburg, Russian Federation; Kobdaj C., Institute of Science, Suranaree University of Technology, Nakhon Ratchasima, Thailand; Leonhardt V., ScientificVisualization Lab, TUKaiserslautern, Kaiserslautern, 67663, Germany; Mehendale S., Department of Physics and Technology, University of Bergen, Bergen, 5007, Norway; Mulawade R.N., Center for Technology and Transfer (ZTT), University of Applied Sciences Worms, Worms, Germany; Odland O.H., Department of Physics and Technology, University of Bergen, Bergen, 5007, Norway, Department of Oncology and Medical Physics, Haukeland University Hospital, Bergen, 5021, Norway; O'Neill G., Department of Physics and Technology, University of Bergen, Bergen, 5007, Norway; Papp G., Institute for Physics, Eötvös Loránd University, 1/A Pázmány P. Sétány, Budapest, H-1117, Hungary; Peitzmann T., Institute for Subatomic Physics, Utrecht University/Nikhef, Utrecht, Netherlands; Pettersen H.E.S., Department of Oncology and Medical Physics, Haukeland University Hospital, Bergen, 5021, Norway; Piersimoni P., Department of Physics and Technology, University of Bergen, Bergen, 5007, Norway, UniCamillus-Saint Camillus International University of Health Sciences, Rome, Italy; Protsenko M., Research and Production Enterprise LTU (RPELTU), Kharkiv, Ukraine; Rauch M., Department of Physics and Technology, University of Bergen, Bergen, 5007, Norway; Ur Rehman A., Department of Physics and Technology, University of Bergen, Bergen, 5007, Norway; Richter M., Department of Physics, University of Oslo, Oslo, 0371, Norway; Röhrich D., Department of Physics and Technology, University of Bergen, Bergen, 5007, Norway; Santana J., Center for Technology and Transfer (ZTT), University of Applied Sciences Worms, Worms, Germany; Schilling A., Center for Technology and Transfer (ZTT), University of Applied Sciences Worms, Worms, Germany; Seco J., Department of Biomedical Physics in Radiation Oncology, DKFZ-German Cancer Research Center, Heidelberg, Germany, Department of Physics and Astronomy, Heidelberg University, Heidelberg, Germany; Songmoolnak A., Department of Physics and Technology, University of Bergen, Bergen, 5007, Norway, Institute of Science, Suranaree University of Technology, Nakhon Ratchasima, Thailand; Sudár Á., Scientific Computing, TU Kaiserslautern, Kaiserslautern, 67663, Germany, Budapest University of Technology and Economics, Budapest, Hungary; Salie J.R., Department of Diagnostic Physics, Division of Radiology and Nuclear Medicine, Oslo University Hospital, Oslo, Norway; Tambave G., Center for Medical and Radiation Physics (CMRP), National Institute of Science Education and Research (NISER), Bhubaneswar, India; Tymchuk I., Research and Production Enterprise LTU (RPELTU), Kharkiv, Ukraine; Ullaland K., Department of Physics and Technology, University of Bergen, Bergen, 5007, Norway; Varga-Kofarago M., Wigner Research Centre for Physics, Budapest, Hungary; Volz L., Biophysics, GSI Helmholtz Center for Heavy Ion Research GmbH, Darmstadt, Germany, Department of Medical Physics and Biomedical Engineering, University College London, London, United Kingdom; Wagner B., Department of Physics and Technology, University of Bergen, Bergen, 5007, Norway; Wendzel S., Center for Technology and Transfer (ZTT), University of Applied Sciences Worms, Worms, Germany; Wiebel A., Center for Technology and Transfer (ZTT), University of Applied Sciences Worms, Worms, Germany; Xiao R., Department of Physics and Technology, University of Bergen, Bergen, 5007, Norway, College of Mechanical & Power Engineering, China Three Gorges University, Yichang, China; Yang S., Department of Physics and Technology, University of Bergen, Bergen, 5007, Norway; Yokoyama H., Institute for Subatomic Physics, Utrecht University/Nikhef, Utrecht, Netherlands; Zillien S., Center for Technology and Transfer (ZTT), University of Applied Sciences Worms, Worms, Germany","01628828","","ITPID"
"Timchenko L.; Kokriatskaya N.; Tverdomed V.; Stetsenko O.; Kaplun V.; Kolesnytskyj O.K.; Reshetnik O.; Smailova S.; Zhunissova U.","Timchenko, Leonid (7006204952); Kokriatskaya, Natalia (6506291738); Tverdomed, Volodymyr (57204840660); Stetsenko, Oleksandr (58642611100); Kaplun, Valentina (58643081400); Kolesnytskyj, Oleg K. (6507709229); Reshetnik, Oleksandr (58642927300); Smailova, Saule (55645191800); Zhunissova, Ulzhalgas (57208803547)","7006204952; 6506291738; 57204840660; 58642611100; 58643081400; 6507709229; 58642927300; 55645191800; 57208803547","SEGMENTATION OF MULTIGRADATION IMAGES BASED ON SPATIAL CONNECTIVITY FEATURES; [SEGMENTACJA OBRAZÓW WIELOGRADACYJNYCH NA PODSTAWIE CECH ŁĄCZNOŚCI PRZESTRZENNEJ]","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173966020&doi=10.35784%2fiapgos.5352&partnerID=40&md5=1e6dfbb634ccf894cb02cb1f9c185e95","State University of Infrastructure and Technology, Artificial Intelligence Systems and Telecommunication Technologies Department, Kyiv, Ukraine; Kyiv Institute of Railway Transport, Kyiv, Ukraine; Vinnytsia National Technical University, Vinnytsia, Ukraine; D.Serikbayev East Kazakhstan State Technical University, Ust-Kamenogorsk, Kazakhstan; Astana Medical University, Astana, Kazakhstan","Timchenko L., State University of Infrastructure and Technology, Artificial Intelligence Systems and Telecommunication Technologies Department, Kyiv, Ukraine; Kokriatskaya N., State University of Infrastructure and Technology, Artificial Intelligence Systems and Telecommunication Technologies Department, Kyiv, Ukraine; Tverdomed V., State University of Infrastructure and Technology, Artificial Intelligence Systems and Telecommunication Technologies Department, Kyiv, Ukraine, Kyiv Institute of Railway Transport, Kyiv, Ukraine; Stetsenko O., State University of Infrastructure and Technology, Artificial Intelligence Systems and Telecommunication Technologies Department, Kyiv, Ukraine; Kaplun V., Vinnytsia National Technical University, Vinnytsia, Ukraine; Kolesnytskyj O.K., Vinnytsia National Technical University, Vinnytsia, Ukraine; Reshetnik O., Vinnytsia National Technical University, Vinnytsia, Ukraine; Smailova S., D.Serikbayev East Kazakhstan State Technical University, Ust-Kamenogorsk, Kazakhstan; Zhunissova U., Astana Medical University, Astana, Kazakhstan","20830157","",""
"Bodyanskiy Y.; Kostiuk S.","Bodyanskiy, Yevgeniy (13105377000); Kostiuk, Serhii (57765391000)","13105377000; 57765391000","Using Adaptive Activation Functions in Pre-Trained Artificial Neural Network Models","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176316620&partnerID=40&md5=216f0cdc5e68537893007f777547d17e","Kharkiv National University of Radio Electronics, Nauky ave 14, Kharkiv, 61166, Ukraine","Bodyanskiy Y., Kharkiv National University of Radio Electronics, Nauky ave 14, Kharkiv, 61166, Ukraine; Kostiuk S., Kharkiv National University of Radio Electronics, Nauky ave 14, Kharkiv, 61166, Ukraine","16130073","",""
