"Authors","Author full names","Author(s) ID","Title","Year","DOI","Link","Affiliations","Authors with affiliations","ISSN","ISBN","CODEN","Open Access"
"Bekhta I.; Bondarchuk N.; Hrytsiv N.; Levchenko O.; Matviienkiv O.; Melnychuk O.","Bekhta, Ivan (57219746667); Bondarchuk, Nataliya (57224195349); Hrytsiv, Nataliia (57221864019); Levchenko, Olena (57204923811); Matviienkiv, Olha (57815771200); Melnychuk, Oksana (57815614700)","57219746667; 57224195349; 57221864019; 57204923811; 57815771200; 57815614700","Computational Actualization of Idioms: Authorial Corpus-based Idiomaticity of Contemporary British Fiction","2022","10.1109/CSIT56902.2022.10000798","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146351238&doi=10.1109%2fCSIT56902.2022.10000798&partnerID=40&md5=ba1179d1b4bc9c9c93167452f661856d","Lviv Polytechnic National University, Department of Applied Linguistics, Lviv, Ukraine; Ivan Franko National University of Lviv, Department of Foreign Languages for the Humanities, Lviv, Ukraine","Bekhta I., Lviv Polytechnic National University, Department of Applied Linguistics, Lviv, Ukraine; Bondarchuk N., Lviv Polytechnic National University, Department of Applied Linguistics, Lviv, Ukraine; Hrytsiv N., Lviv Polytechnic National University, Department of Applied Linguistics, Lviv, Ukraine; Levchenko O., Lviv Polytechnic National University, Department of Applied Linguistics, Lviv, Ukraine; Matviienkiv O., Ivan Franko National University of Lviv, Department of Foreign Languages for the Humanities, Lviv, Ukraine; Melnychuk O., Lviv Polytechnic National University, Department of Applied Linguistics, Lviv, Ukraine","27663655","979-835033431-9","",""
"Krak I.; Kuznetsov V.; Kondratiuk S.; Azarova L.; Barmak O.; Padiuk P.","Krak, Iurii (6602577533); Kuznetsov, Vladyslav (56496122100); Kondratiuk, Serhii (57200318123); Azarova, Larisa (57212031795); Barmak, Olexander (57217176350); Padiuk, Pavlo (57216894492)","6602577533; 56496122100; 57200318123; 57212031795; 57217176350; 57216894492","Analysis of Deep Learning Methods in Adaptation to the Small Data Problem Solving","2023","10.1007/978-3-031-16203-9_20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138677828&doi=10.1007%2f978-3-031-16203-9_20&partnerID=40&md5=254f8969373e0ed1731c57ce699aaa26","Taras Shevchenko National University of Kyiv, Kyiv, Ukraine; Glushkov Institute of Cybernetics of NAS of Ukraine, Kyiv, Ukraine; Vinnytsia National Technical University, Vinnytsia, Ukraine; Khmelnytskyi National University, Khmelnytskyi, Ukraine","Krak I., Taras Shevchenko National University of Kyiv, Kyiv, Ukraine, Glushkov Institute of Cybernetics of NAS of Ukraine, Kyiv, Ukraine; Kuznetsov V., Taras Shevchenko National University of Kyiv, Kyiv, Ukraine; Kondratiuk S., Taras Shevchenko National University of Kyiv, Kyiv, Ukraine, Glushkov Institute of Cybernetics of NAS of Ukraine, Kyiv, Ukraine; Azarova L., Vinnytsia National Technical University, Vinnytsia, Ukraine; Barmak O., Khmelnytskyi National University, Khmelnytskyi, Ukraine; Padiuk P., Khmelnytskyi National University, Khmelnytskyi, Ukraine","23674512","","",""
"Marchenko O.; Isoieva M.","Marchenko, Oleksandr (44661392700); Isoieva, Mariam (57672074100)","44661392700; 57672074100","Automatic Generation of Coherent Natural Language Texts","2023","10.1007/978-3-031-42935-4_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172148804&doi=10.1007%2f978-3-031-42935-4_7&partnerID=40&md5=8fd79bec2e993a3558447502c09ed186","Taras Shevchenko National University of Kyiv, 60 Volodymyrska Street, Kyiv, 01033, Ukraine; International Research and Training Center for Information Technologies and Systems, Kyiv, Ukraine","Marchenko O., Taras Shevchenko National University of Kyiv, 60 Volodymyrska Street, Kyiv, 01033, Ukraine, International Research and Training Center for Information Technologies and Systems, Kyiv, Ukraine; Isoieva M., Taras Shevchenko National University of Kyiv, 60 Volodymyrska Street, Kyiv, 01033, Ukraine","03029743","978-303142934-7","",""
"Kravchenko H.; Rybchak Z.; Kulyna O.; Shestakevych T.","Kravchenko, Hanna (58489711600); Rybchak, Zoriana (57189374702); Kulyna, Olha (57224203474); Shestakevych, Tetiana (55225672200)","58489711600; 57189374702; 57224203474; 55225672200","IT Slang Analysis System","2023","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164920070&partnerID=40&md5=83ceb661819450d85aef09889f3812cc","Lviv Polytechnic National University, S. Bandery street, Lviv, 79013, Ukraine","Kravchenko H., Lviv Polytechnic National University, S. Bandery street, Lviv, 79013, Ukraine; Rybchak Z., Lviv Polytechnic National University, S. Bandery street, Lviv, 79013, Ukraine; Kulyna O., Lviv Polytechnic National University, S. Bandery street, Lviv, 79013, Ukraine; Shestakevych T., Lviv Polytechnic National University, S. Bandery street, Lviv, 79013, Ukraine","16130073","","",""
"Scheffler T.; Solopova V.; Zolotarenko O.; Razno M.","Scheffler, Tatjana (35485596500); Solopova, Veronika (57322485000); Zolotarenko, Olha (57907942200); Razno, Mariia (57907547200)","35485596500; 57322485000; 57907942200; 57907547200","A Computational Lexicon of Ukrainian Discourse Connectives","2022","10.1007/978-3-031-14841-5_35","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138797049&doi=10.1007%2f978-3-031-14841-5_35&partnerID=40&md5=078c97a264b5cff82d586ddb2f0d8f5c","Ruhr-Universität Bochum, Universitätsstr. 150, Bochum, 44801, Germany; Freie Universität Berlin, Berlin, Germany; Universität Potsdam, Potsdam, Germany; Kharkiv Polytechnic University, Kharkiv, Ukraine","Scheffler T., Ruhr-Universität Bochum, Universitätsstr. 150, Bochum, 44801, Germany; Solopova V., Freie Universität Berlin, Berlin, Germany; Zolotarenko O., Universität Potsdam, Potsdam, Germany; Razno M., Kharkiv Polytechnic University, Kharkiv, Ukraine","18650929","978-303114840-8","",""
"Onyshchenko I.; Anisimov A.; Marchenko O.; Isoieva M.","Onyshchenko, Igor (58043682200); Anisimov, Anatoly (9536987000); Marchenko, Oleksandr (44661392700); Isoieva, Mariam (57672074100)","58043682200; 9536987000; 44661392700; 57672074100","Analysis of Semantic Similarity between Sentences Using Transformer-based Deep Learning Methods","2022","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149368462&partnerID=40&md5=1a8c9ff0087584fa0f4bd256f45683ca","Taras Shevchenko National University of Kyiv, 60, Volodymyrska Str., Kyiv, 01033, Ukraine","Onyshchenko I., Taras Shevchenko National University of Kyiv, 60, Volodymyrska Str., Kyiv, 01033, Ukraine; Anisimov A., Taras Shevchenko National University of Kyiv, 60, Volodymyrska Str., Kyiv, 01033, Ukraine; Marchenko O., Taras Shevchenko National University of Kyiv, 60, Volodymyrska Str., Kyiv, 01033, Ukraine; Isoieva M., Taras Shevchenko National University of Kyiv, 60, Volodymyrska Str., Kyiv, 01033, Ukraine","16130073","","",""
"Afanasieva I.; Golian N.; Golian V.; Khovrat A.; Onyshchenko K.","Afanasieva, Iryna (57224184250); Golian, Nataliia (56007783500); Golian, Vira (56008181700); Khovrat, Artem (58128129600); Onyshchenko, Kostiantyn (57209338164)","57224184250; 56007783500; 56008181700; 58128129600; 57209338164","Application of Neural Networks to Identify of Fake News","2023","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160855917&partnerID=40&md5=ee2b2553eb5a11e419e80c619e7f06b9","Kharkiv National University of Radio Electronics, 14, Nauky, Ave., Kharkiv, 61166, Ukraine","Afanasieva I., Kharkiv National University of Radio Electronics, 14, Nauky, Ave., Kharkiv, 61166, Ukraine; Golian N., Kharkiv National University of Radio Electronics, 14, Nauky, Ave., Kharkiv, 61166, Ukraine; Golian V., Kharkiv National University of Radio Electronics, 14, Nauky, Ave., Kharkiv, 61166, Ukraine; Khovrat A., Kharkiv National University of Radio Electronics, 14, Nauky, Ave., Kharkiv, 61166, Ukraine; Onyshchenko K., Kharkiv National University of Radio Electronics, 14, Nauky, Ave., Kharkiv, 61166, Ukraine","16130073","","",""
"Petryk M.; Doroshenko A.; Mykhalyk D.; Ivanenko P.; Yatsenko O.","Petryk, Mykhaylo (16550998700); Doroshenko, Anatoliy (26662433900); Mykhalyk, Dmytro (34971752100); Ivanenko, Pavlo (56183606500); Yatsenko, Olena (28667561500)","16550998700; 26662433900; 34971752100; 56183606500; 28667561500","Automated Parallelization of Software for Identifying Parameters of Intraparticle Diffusion and Adsorption in Heterogeneous Nanoporous Media","2023","10.1007/978-3-031-30251-0_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164008375&doi=10.1007%2f978-3-031-30251-0_3&partnerID=40&md5=2ce403b1a3e705af79d0bfe6f74fb239","Institute of Software Systems of National Academy of Sciences of Ukraine, Glushkov Prosp. 40, Kyiv, 03187, Ukraine; Ternopil Ivan Puluj National Technical University, Ruska Str. 56, Ternopil, 46001, Ukraine","Petryk M., Ternopil Ivan Puluj National Technical University, Ruska Str. 56, Ternopil, 46001, Ukraine; Doroshenko A., Institute of Software Systems of National Academy of Sciences of Ukraine, Glushkov Prosp. 40, Kyiv, 03187, Ukraine; Mykhalyk D., Ternopil Ivan Puluj National Technical University, Ruska Str. 56, Ternopil, 46001, Ukraine; Ivanenko P., Institute of Software Systems of National Academy of Sciences of Ukraine, Glushkov Prosp. 40, Kyiv, 03187, Ukraine; Yatsenko O., Ternopil Ivan Puluj National Technical University, Ruska Str. 56, Ternopil, 46001, Ukraine","23673370","978-303130250-3","",""
"Skurzhanskyi O.; Marchenko O.","Skurzhanskyi, Oleksandr (57219739237); Marchenko, Oleksandr (44661392700)","57219739237; 44661392700","Task-specific pre-training improves models for paraphrase generation","2022","10.1145/3582768.3582791","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168765441&doi=10.1145%2f3582768.3582791&partnerID=40&md5=5bac83a956ba21ea554e8e4cc93408cd","Taras Shevchenko National University of Kyiv, Kyiv, Ukraine","Skurzhanskyi O., Taras Shevchenko National University of Kyiv, Kyiv, Ukraine; Marchenko O., Taras Shevchenko National University of Kyiv, Kyiv, Ukraine","","978-145039762-9","","All Open Access; Bronze Open Access"
"Zyelyk Ya.I.; Chornyy S.V.; Fedorov O.P.; Pidgorodetska L.V.; Kolos L.M.","Zyelyk, Ya.I. (58249157200); Chornyy, S.V. (57202006988); Fedorov, O.P. (12780133600); Pidgorodetska, L.V. (57209536574); Kolos, L.M. (25223087400)","58249157200; 57202006988; 12780133600; 57209536574; 25223087400","SPATIAL RESOLUTION ENHANCEMENT OF THE LAND SURFACE THERMAL FIELD IMAGERY BASED ON MULTIPLE REGRESSION MODELS ON MULTISPECTRAL DATA FROM VARIOUS SPACE SYSTEMS; [ПІДВИЩЕННЯ ПРОСТОРОВОЇ РОЗДІЛЬНОЇ ЗДАТНОСТІ ЗОБРАЖЕНЬ ТЕПЛОВОГО ПОЛЯ ЗЕМНОЇ ПОВЕРХНІ НА ОСНОВІ МОДЕЛЕЙ МНОЖИННОЇ РЕГРЕСІЇ НА БАГАТОСПЕКТРАЛЬНИХ ДАНИХ ВІД РІЗНИХ КОСМІЧНИХ СИСТЕМ]","2023","10.15407/knit2023.01.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160776728&doi=10.15407%2fknit2023.01.003&partnerID=40&md5=1179fc7faee90d9e696b6cde62f08966","Space Research Institute National Academy of Sciences of Ukraine and State Space Agency of Ukraine, 40 Academician Glushkov Ave., build. 4/1 187, Kyiv, 03187, Ukraine","Zyelyk Ya.I., Space Research Institute National Academy of Sciences of Ukraine and State Space Agency of Ukraine, 40 Academician Glushkov Ave., build. 4/1 187, Kyiv, 03187, Ukraine; Chornyy S.V., Space Research Institute National Academy of Sciences of Ukraine and State Space Agency of Ukraine, 40 Academician Glushkov Ave., build. 4/1 187, Kyiv, 03187, Ukraine; Fedorov O.P., Space Research Institute National Academy of Sciences of Ukraine and State Space Agency of Ukraine, 40 Academician Glushkov Ave., build. 4/1 187, Kyiv, 03187, Ukraine; Pidgorodetska L.V., Space Research Institute National Academy of Sciences of Ukraine and State Space Agency of Ukraine, 40 Academician Glushkov Ave., build. 4/1 187, Kyiv, 03187, Ukraine; Kolos L.M., Space Research Institute National Academy of Sciences of Ukraine and State Space Agency of Ukraine, 40 Academician Glushkov Ave., build. 4/1 187, Kyiv, 03187, Ukraine","15618889","","","All Open Access; Bronze Open Access"
