"Authors","Author full names","Author(s) ID","Title","Year","DOI","Link","Affiliations","Authors with affiliations","ISSN","ISBN","CODEN","Open Access"
"Terletskyi O.; Venherskyi P.; Trushevskyi V.; Hrytsyshyn O.","Terletskyi, Oleksandr (58759157800); Venherskyi, Petro (55225981100); Trushevskyi, Valeriy (58759200300); Hrytsyshyn, Ostap (58759289700)","58759157800; 55225981100; 58759200300; 58759289700","Development of a Ray Tracing Framework for Simulating Acoustic Waves Propagation Enhanced by Neural Networks","2023","10.1109/ELIT61488.2023.10310731","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179519075&doi=10.1109%2fELIT61488.2023.10310731&partnerID=40&md5=8f4433caf483c71f11ec58afd1d42dce","Ivan Franko National University of Lviv, Lviv, Ukraine","Terletskyi O., Ivan Franko National University of Lviv, Lviv, Ukraine; Venherskyi P., Ivan Franko National University of Lviv, Lviv, Ukraine; Trushevskyi V., Ivan Franko National University of Lviv, Lviv, Ukraine; Hrytsyshyn O., Ivan Franko National University of Lviv, Lviv, Ukraine","","979-835038309-6","",""
"Strelko O.; Hrushevska T.; Toropov B.; Berdnychenko Y.; Soloviova O.","Strelko, Oleh (57211487742); Hrushevska, Tetiana (57208531432); Toropov, Borys (58617917800); Berdnychenko, Yuliia (57211485477); Soloviova, Oleksandra (57222665122)","57211487742; 57208531432; 58617917800; 57211485477; 57222665122","Study of the Formation of Passenger Flows in Transport Hubs","2023","10.1007/978-3-031-36201-9_60","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172275113&doi=10.1007%2f978-3-031-36201-9_60&partnerID=40&md5=cd8745f82a6b78ab49966804d38b9c77","State University of Infrastructure and Technologies, 9, Kyrylivska Street, Kyiv, 04071, Ukraine","Strelko O., State University of Infrastructure and Technologies, 9, Kyrylivska Street, Kyiv, 04071, Ukraine; Hrushevska T., State University of Infrastructure and Technologies, 9, Kyrylivska Street, Kyiv, 04071, Ukraine; Toropov B., State University of Infrastructure and Technologies, 9, Kyrylivska Street, Kyiv, 04071, Ukraine; Berdnychenko Y., State University of Infrastructure and Technologies, 9, Kyrylivska Street, Kyiv, 04071, Ukraine; Soloviova O., State University of Infrastructure and Technologies, 9, Kyrylivska Street, Kyiv, 04071, Ukraine","23673370","978-303136200-2","",""
"Khlamov S.; Briukhovetskyi O.; Savanevych V.; Trunova T.; Tabakova I.","Khlamov, Sergii (56866386100); Briukhovetskyi, Olexander (56866310000); Savanevych, Vadym (56486038400); Trunova, Tetiana (57775882100); Tabakova, Iryna (57194480930)","56866386100; 56866310000; 56486038400; 57775882100; 57194480930","Astronomical Big Data Analysis by the CoLiTec Software","2022","10.1109/PICST57299.2022.10238543","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172721406&doi=10.1109%2fPICST57299.2022.10238543&partnerID=40&md5=d9e677265368f41be108ce4a8404ffbc","Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; State Space Agency of Ukraine, Western Radio Technical Surveillance Center, Mukachevo, Ukraine; Kharkiv National University of Radio Electronics, Department of Systems Engineering, Kharkiv, Ukraine; Kharkiv National University of Radio Electronics, Department of Media Systems and Technologies, Kharkiv, Ukraine","Khlamov S., Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Briukhovetskyi O., State Space Agency of Ukraine, Western Radio Technical Surveillance Center, Mukachevo, Ukraine; Savanevych V., Kharkiv National University of Radio Electronics, Department of Systems Engineering, Kharkiv, Ukraine; Trunova T., Kharkiv National University of Radio Electronics, Department of Media Systems and Technologies, Kharkiv, Ukraine; Tabakova I., Kharkiv National University of Radio Electronics, Department of Media Systems and Technologies, Kharkiv, Ukraine","","979-835039891-5","",""
"Bodyanskiy Y.; Chala O.","Bodyanskiy, Ye. (13105377000); Chala, O. (57211128569)","13105377000; 57211128569","Evolving Stacking Neuro-Fuzzy Probabilistic Networks and Their Combined Learning in Online Pattern Recognition Tasks","2023","10.1007/978-3-031-25759-9_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153384685&doi=10.1007%2f978-3-031-25759-9_6&partnerID=40&md5=2d81d19b2ed7098f25a542aab005c2e9","Control Systems Research Laboratory, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Artifical Intelligence Departement, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine","Bodyanskiy Y., Control Systems Research Laboratory, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Chala O., Artifical Intelligence Departement, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine","1860949X","","",""
"Kasianchuk M.; Yakymenko I.; Yatskiv S.; Gomotiuk O.; Bilovus L.","Kasianchuk, Mykhailo (58161583900); Yakymenko, Ihor (24178191500); Yatskiv, Solomiya (57204937166); Gomotiuk, Oksana (57210561910); Bilovus, Lesia (57219598554)","58161583900; 24178191500; 57204937166; 57210561910; 57219598554","The Method of Joint Execution of the Basic Operations of the Rabin Cryptosystem","2023","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154025385&partnerID=40&md5=d5c6923052a5c90b61eb2cd3a709e12d","West Ukrainian National University, 11 Lvivska str., Ternopil, 46009, Ukraine","Kasianchuk M., West Ukrainian National University, 11 Lvivska str., Ternopil, 46009, Ukraine; Yakymenko I., West Ukrainian National University, 11 Lvivska str., Ternopil, 46009, Ukraine; Yatskiv S., West Ukrainian National University, 11 Lvivska str., Ternopil, 46009, Ukraine; Gomotiuk O., West Ukrainian National University, 11 Lvivska str., Ternopil, 46009, Ukraine; Bilovus L., West Ukrainian National University, 11 Lvivska str., Ternopil, 46009, Ukraine","16130073","","",""
"Kalinin Y.; Kozhushko A.; Rebrov O.; Zakovorotniy A.","Kalinin, Yevhen (57204677409); Kozhushko, Andrii (57192820550); Rebrov, Oleksii (57218896355); Zakovorotniy, Alexander (57201613700)","57204677409; 57192820550; 57218896355; 57201613700","Characteristics of Rational Classifications in Game-Theoretic Algorithms of Pattern Recognition for Unmanned Vehicles","2022","10.1109/KhPIWeek57572.2022.9916454","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141487418&doi=10.1109%2fKhPIWeek57572.2022.9916454&partnerID=40&md5=05bfe3c235639d921a8252af94a3fe6b","National University of Life and Environmental Sciences of Ukraine, Tractors, Cars and Bioenergy Resources Department, Kyiv, Ukraine; National Technical University, 'Kharkiv Polytechnic Institute', Car and Tractor Industry Department, Kharkiv, Ukraine; National Technical University, 'Kharkiv Polytechnic Institute', Computer Engineering and Programming Department, Kharkiv, Ukraine","Kalinin Y., National University of Life and Environmental Sciences of Ukraine, Tractors, Cars and Bioenergy Resources Department, Kyiv, Ukraine; Kozhushko A., National Technical University, 'Kharkiv Polytechnic Institute', Car and Tractor Industry Department, Kharkiv, Ukraine; Rebrov O., National Technical University, 'Kharkiv Polytechnic Institute', Car and Tractor Industry Department, Kharkiv, Ukraine; Zakovorotniy A., National Technical University, 'Kharkiv Polytechnic Institute', Computer Engineering and Programming Department, Kharkiv, Ukraine","","979-835039920-2","",""
"Khlamov S.; Savanevych V.; Briukhovetskyi O.; Tabakova I.; Trunova T.","Khlamov, Sergii (56866386100); Savanevych, Vadym (56486038400); Briukhovetskyi, Olexander (56866310000); Tabakova, Iryna (57194480930); Trunova, Tetiana (57775882100)","56866386100; 56486038400; 56866310000; 57194480930; 57775882100","Astronomical Knowledge Discovery in Databases by the CoLiTec Software","2022","10.1109/ACIT54803.2022.9913188","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141142052&doi=10.1109%2fACIT54803.2022.9913188&partnerID=40&md5=df383207cf9334a69746a0ebfdc1e629","Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Kharkiv National University of Radio Electronics, Department of Systems Engineering, Kharkiv, Ukraine; Western Radio Technical Surveillance Center State Space Agency of Ukraine, Mukachevo, Ukraine; Kharkiv National University of Radio Electronics, Department of Media Systems and Technologies, Kharkiv, Ukraine","Khlamov S., Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Savanevych V., Kharkiv National University of Radio Electronics, Department of Systems Engineering, Kharkiv, Ukraine; Briukhovetskyi O., Western Radio Technical Surveillance Center State Space Agency of Ukraine, Mukachevo, Ukraine; Tabakova I., Kharkiv National University of Radio Electronics, Department of Media Systems and Technologies, Kharkiv, Ukraine; Trunova T., Kharkiv National University of Radio Electronics, Department of Media Systems and Technologies, Kharkiv, Ukraine","","978-166541050-2","",""
