University Name;Count
Lviv Polytechnic National University;560
Taras Shevchenko National University of Kyiv;387
Kharkiv National University of Radio Electronics;317
National Aviation University;197
National Aerospace University;256
National Technical University "Igor Sikorsky Kyiv Polytechnic Institute";425
Vinnytsia National Technical University;107
Sumy State University;118
Ivan Franko National University of Lviv;96
National University of Life and Environmental Sciences of Ukraine;94
Kryvyi Rih National University;70
West Ukrainian National University;63
Dnipro University of Technology;61
Kharkiv National Medical University;53
Bukovinian State Medical University;52
V. M. Glushkov Institute of Cybernetics;51
Kryvyi Rih State Pedagogical University;49
Kyiv National University of Construction and Architecture;48
Kherson National Technical University;46
Petro Mohyla Black Sea National University;46
Chernivtsi National University;45
V. N. Karazin Kharkiv National University;106
Borys Grinchenko Kyiv University;43
Ternopil National Economic University;43
Ukrainian Catholic University;42
Simon Kuznets Kharkiv National University of Economics;40
Ternopil Ivan Puluj National Technical University;52
Khmelnytskyi National University;39
Uzhhorod National University;38
Cherkasy State Technological University;37
Oles Honchar Dnipro National University;36
Kherson State University;35
V.N. Karazin Kharkiv National University;34
Kharkov National University of Radio Electronics;32
Institute of Geophysics;32
Ivano-Frankivsk National Technical University of Oil and Gas;32
Ivan Kozhedub Kharkiv National Air Force University;31
Karpenko Physicomechanical Institute;31
Lviv State University of Life Safety;31
Donetsk National Technical University;30
Control Systems Research Laboratory;30
Frantsevich Institute for Problems of Materials Science;30
Pisarenko Institute of Problems of Strength;30
Marine Hydrophysical Institute;30
Kharkiv National University of Radioelectronics;29
Department of Computer Science;29
National University of Water and Environmental Engineering;29
National Technical University "Kharkiv Polytechnic Institute";28
Yuriy Fedkovych Chernivtsi National University;28
Ukrainian Academy of Printing;28
State Higher Educational Institution;27
Zhytomyr Polytechnic State University;27
Odessa National Polytechnic University;27
Department of Publishing Information Technologies;25
Institute for Applied System Analysis;24
Department of Economic Cybernetics;24
Bogomolets National Medical University;23
Lutsk National Technical University;23
Vasyl Stefanyk Precarpathian National University;23
National Metallurgical Academy of Ukraine;22
'false  ''Igor Sikorsky Kyiv Polytechnic Institute''';22
National Scientific Center;22
Sumy National Agrarian University;21
Volodymyr Dahl East Ukrainian National University;21
Interregional Academy of Personnel Management;21
Department of Automated Control Systems;21
Vinnitsa National Technical University;21
IT Step University;20
National University of Civil Defence of Ukraine;20
Institute of Radio Astronomy;19
Information Systems and Networks Department;19
Institute for Scintillation Materials of National Academy of Science of Ukraine;18
Glushkov Cybernetics Institute;18
Taras Shevchenko National University;18
