University Name,Count
Lviv Polytechnic National University,579
Taras Shevchenko National University of Kyiv,387
Kharkiv National University of Radio Electronics,317
National Aviation University,197
National Aerospace University,256
National Technical University "Igor Sikorsky Kyiv Polytechnic Institute",436
Vinnytsia National Technical University,107
Sumy State University,118
Ivan Franko National University of Lviv,134
National University of Life and Environmental Sciences of Ukraine,94
Kryvyi Rih National University,70
West Ukrainian National University,63
Dnipro University of Technology,61
Kharkiv National Medical University,53
Bukovinian State Medical University,52
V. M. Glushkov Institute of Cybernetics,51
Kryvyi Rih State Pedagogical University,49
Kyiv National University of Construction and Architecture,48
Kherson National Technical University,46
Petro Mohyla Black Sea National University,46
Chernivtsi National University,45
V. N. Karazin Kharkiv National University,106
Borys Grinchenko Kyiv University,43
Ternopil National Economic University,43
Ukrainian Catholic University,42
Simon Kuznets Kharkiv National University of Economics,40
Ternopil Ivan Puluj National Technical University,52
Khmelnytskyi National University,39
Uzhhorod National University,38
Cherkasy State Technological University,37
Oles Honchar Dnipro National University,36
Kherson State University,35
V.N. Karazin Kharkiv National University,34
Kharkov National University of Radio Electronics,32
Institute of Geophysics,32
Ivano-Frankivsk National Technical University of Oil and Gas,32
Ivan Kozhedub Kharkiv National Air Force University,31
Karpenko Physicomechanical Institute,31
Lviv State University of Life Safety,31
Donetsk National Technical University,30
Control Systems Research Laboratory,30
Frantsevich Institute for Problems of Materials Science,30
Pisarenko Institute of Problems of Strength,30
Marine Hydrophysical Institute,30
Kharkiv National University of Radioelectronics,29
Department of Computer Science,29
National University of Water and Environmental Engineering,29
National Technical University "Kharkiv  Institute",28
Yuriy Fedkovych Chernivtsi National University,28
Ukrainian Academy of Printing,28
State Higher Educational Institution,27
Zhytomyr  State University,27
Odessa National  University,27
Department of Publishing Information Technologies,25
Institute for Applied System Analysis,24
Department of Economic Cybernetics,24
Bogomolets National Medical University,23
Lutsk National Technical University,23
Vasyl Stefanyk Precarpathian National University,23
National Metallurgical Academy of Ukraine,22
National Scientific Center,22
Sumy National Agrarian University,21
Volodymyr Dahl East Ukrainian National University,21
Interregional Academy of Personnel Management,21
Department of Automated Control Systems,21
Vinnitsa National Technical University,21
IT Step University,20
National University of Civil Defence of Ukraine,20
Institute of Radio Astronomy,19
Information Systems and Networks Department,19
Institute for Scintillation Materials of National Academy of Science of Ukraine,18
Glushkov Cybernetics Institute,18
Taras Shevchenko National University,18
Institute of Physics,18
Kyiv National University of Technologies and Design,17
National Mining University,17
Glushkov Institute of Cybernetics,17
Special Design Office of Television Systems,17
Department of Informatics,17
Zaporizhzhia National University,17
Scientific Centre for Aerospace Research of the Earth,17
Hetman Petro Sahaidachnyi National Army Academy,17
Department of Electronic Computers,17
Department of Microwave Electronics,17
National Pirogov Memorial Medical University,17
Astronomical Observatory,16
Danylo Halytsky Lviv National Medical University,16
Institute of Applied Problems of Ecology,16
State University of Telecommunications,16
Department of Telecommunications,16
SoftServe,16
Vinnitsa Social Economy Institute,16
Institute for Condensed Matter Physics,15
Institute for Information Recording of National Academy of Sciences of Ukraine,15
National Academy of Sciences of Ukraine,15
Kremenchuk Mykhailo Ostrohradskyi National University,15
State University of Infrastructure and Technologies,15
Vasyl' Stus Donetsk National University,14
Department of Information Technology,14
Department of Computer Engineering,14
Bogomolets Institute of Physiology,14
Drohobych Ivan Franko State Pedagogical University,14
Kharkiv National Air Force University,14
Space Research Institute NASU-SSAU,14
Intelligent Information Systems Department,14
Department of Applied Mathematics,14
Institute of Software Systems,14
State University of Infrastructure and Technology,14
Department of Physics,14
Department of Management,14
Department of Marketing,14
CAD Department,14
V.M. Glushkov Institute of Cybernetics,13
Kyiv National Economic University named after Vadym Hetman,13
Kherson State Maritime Academy,13
Kharkiv National Automobile and Highway University,13
Correlation Optics Department,13
National University of Food Technologies,13
Ukrainian National Forestry University,13
Department of Information Security,13
Institute for Nuclear Research,13
Ukrainian State University of Railway Transport,13
Computer Engineering Department,13
National University of Kyiv-Mohyla Academy,13
Kyiv National University of Trade and Economics,13
Department of Software Tools,13
Institute of Telecommunications and Global Information Space,12
ACS Department,12
Department of Finance,12
Department of Computer Systems,12
Space Research Institute,12
Research Institute for Intelligent Computer Systems,12
Institute of Molecular Biology and Genetics,12
Donetsk National University,12
State University of Trade and Economics,12
International Research and Training Center for Information Technologies and Systems,12
Department of Software Engineering,12
Institute of Astronomy,12
Bogdan Khmelnitsky Melitopol State Pedagogical University,12
Pryazovskyi State Technical University,11
Odessa National Maritime University,11
National Technical University 'Kharkiv  Institute',11
Kharkiv Petro Vasylenko National Technical University of Agriculture,11
Yaroslav Mudryi National Law University,11
Artificial Intelligence Department,11
Department of Information and Communication Technologies,11
Department of Economics,10
