name;#publications;#publishers;publishers;density
Zhytomyr State Technological University;18;14;"57192675608; 7006786696; 16204199100; 57203935673; 57192955029; 6602239571; 57192961704; 56539603600; 57194694876; 57192686016; 57203860408; 57218398976; 57222623027; 57203866785";1,285714286
Zhytomyr Military Institute Named after S. P. Korolov;2;5;"55696433000; 57439911100; 57211300421; 57217113170; 57439911200";0,4
Zaporizhzhia National Technical University;26;8;"57221812771; 57216490839; 36619192700; 57190428151; 7006531104; 57189328359; 55120940800; 57192955619";3,25
Zabolotny Institute of Microbiology and Virology;5;27;"55016431800; 36724937800; 36128083200; 56708332600; 6602594365; 57239780400; 6507362194; 6602695551; 55694090600; 57209506207; 38360919800; 35462421200; 6506532547; 57219708898; 36954674900; 57221805192; 55941386400; 7003863955; 57201978653; 7005641357; 58038228500; 58037977300; 57219712293; 6701672241; 6507417279; 56446774300; 6506022289";0,185185185
Yuriy Fedkovych Chernivtsi National University;19;48;"55901164600; 57250162700; 57223103494; 35572352400; 57454651100; 57644204100; 57215860637; 57163746300; 57196459964; 57217114601; 57219244262; 14831154800; 54417579000; 57207771451; 6601953964; 58519897800; 6701840218; 57705867200; 58684499000; 57202220212; 57195508804; 57198818977; 57039231500; 57224937961; 57724965200; 58684499100; 58520044900; 24281416600; 57192921573; 36343456800; 58685128800; 6603162487; 57203025062; 57705423100; 13106139800; 57211567133; 57454702400; 16481714700; 57216031565; 6506889690; 6507086403; 58727612300; 56446930100; 57642716500; 57429284200; 57217115649; 57249164800; 57454650400";0,395833333
Yaroslav Mudryi National Law University;6;8;"55131901800; 57213827633; 57203459402; 57224186001; 57403037400; 57224198513; 57222306972; 55135925400";0,75
Yangel Yuzhnoye State Design Office;2;7;"13808147800; 57574299300; 57210558126; 57214167505; 15122731600; 24342029700; 57281646800";0,285714286
Wuhan Fiberhome Technical Services Co.;2;10;"57189328709; 57217114344; 58169736500; 57705308000; 36069352400; 56511716700; 55210843200; 57705307900; 58170091700; 55225979800";0,2
World Data Center for Geoinformatics and Sustainable Development;2;5;"35772765100; 6506327117; 56656533400; 57164002100; 35772319200";0,4
West Ukrainian National University;36;111;"57951809800; 55225672300; 57208674228; 57216523460; 57215355494; 24179012300; 57204116064; 57905172900; 57198353869; 58162215900; 57952787200; 57202448800; 57221617788; 57205441927; 24178775400; 57219591826; 58677325400; 57219593076; 58205318200; 57715338900; 35366491300; 57204110569; 57216485893; 58678019700; 35216311600; 58733430100; 57444633000; 57952714500; 57103800900; 57103759700; 57210561910; 57219598638; 57239318900; 57219598554; 57289388800; 58419039500; 57210554644; 24179093900; 58020232600; 57223088522; 6603472526; 57782473100; 16552460800; 57219591847; 57216954529; 57205431451; 7801584826; 57711749100; 57952938100; 58749555900; 35518445600; 8339656100; 57456786700; 24723272400; 24722815100; 58678019800; 57216456879; 57204937166; 57202448801; 57207206470; 54421023400; 24178221500; 58676976700; 57907400000; 58677676600; 57205437555; 54421527700; 58678192300; 57194428200; 36068957200; 27468042400; 57907206100; 24483514900; 24484045400; 57223999010; 57288531200; 58161583900; 57210565137; 57219592005; 57188573236; 57951621200; 57224193208; 57218321395; 57209803721; 57189322617; 57219234313; 58436392100; 36070237700; 57264119000; 6507476864; 58616012300; 57221207600; 58497371600; 58496898500; 55225606100; 16745231400; 57223103303; 57190253130; 27867794600; 24178191500; 24723255800; 27867757700; 16479742300; 57952350200; 55226024100; 57951406500; 54402691400; 57218315944; 57195137291; 57190575875; 57211585534";0,324324324
Volodymyr Dahl East Ukrainian National University;17;43;"57194047967; 57192377495; 6504606856; 57224909134; 57216629054; 57210377549; 57213166284; 57216331149; 6602806176; 55998946400; 57204397260; 57216628146; 55217923500; 57419343100; 58784926300; 6701878527; 24483379300; 57210379091; 57419343000; 57219986300; 58785801600; 57210371049; 58785801700; 57130878700; 57382704700; 57214167337; 58032095100; 57216346414; 57215346109; 57216628933; 57194193042; 57215544421; 57216330951; 7102596880; 57189247826; 57224196858; 57216614036; 58785801800; 57195589622; 57195593853; 57205551860; 56946900400; 57212601876";0,395348837
Vinnytsia Social Economy Institute;2;3;"55523102357; 6701714823; 55643472600";0,666666667
